Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R170-sim_liq_density-wt,R170-sim_vap_density-wt,R170-sim_Pvap-wt,R170-sim_Hvap-wt,Run Time,jac evals,Termination
4,1130,1.4767465771609074,3.664536242501475,3.6692513437947456,2.520249381502697,3.500288629889935,3.977722177812989,3.496331308759678,74.80544431338664,61.303156349346764,2.074326372973039,30.676273416156683,46.80084381098197,25.276495193078787,1.4767465740285135,3.664536242501475,3.6692513437947456,2.520249381502697,3.500288629889935,3.977722177812989,3.496331308759678,74.80544431338664,61.303156349346764,2.074327575696658,30.676273416156683,46.80084260825835,25.276495193078787,12.751281654128155,14.114618924630427,4.391970182993391,108.3957038999333,0.006134711472986103,0.007285937081798142,0.18109137332247516,0.0054879781227406,87.60409379005432,87,0
11,1918,1.4767465792271464,3.6645258613877925,2.0524219737554383,2.520266807417482,2.4924221352060916,3.720055897365776,3.0776622286833053,74.8057686556869,64.73200800337439,2.0743716499372242,24.771428765389885,35.501574501040075,48.93585119118862,1.476746578613005,3.6645258972511385,2.0524219737554383,2.5202668746758325,2.4924221352060916,3.720055897365776,3.0776621286833055,74.80576882178087,64.73200800337439,2.0743715246455814,24.771428765389885,35.501574501040075,48.93585119118862,12.751109221490024,14.114248192260748,4.391863462466725,108.40704248537685,0.006134686314001781,0.007285833781469353,0.18109176396358775,0.005487715940941103,172.58978176116943,148,0
19,1843,1.476746586574116,3.664530382472953,3.8959404224353618,2.520256532373659,2.0300379614842443,2.3523925111501103,2.664127148733674,74.80587248445505,62.61689498822785,2.07430727474332,47.903761881667855,35.370496298147806,45.75911945441455,1.476746586574116,3.664530382472953,3.8959404224353618,2.520256532373659,2.0300379614842443,2.3523925111501103,2.664127148733674,74.80587248445505,62.61689498822785,2.07430727474332,47.903761881667855,35.370496298147806,45.75911945441455,12.747607966491124,14.114109495988973,4.392284299830374,108.39328364633612,0.006134745713945855,0.007285822027002439,0.18109153583831558,0.005487896420736073,165.7150011062622,142,0
14,1489,1.4767465879808204,3.6645436529784488,3.162717854546515,2.5202409001083694,3.6936576029800703,2.479695518295172,2.9875395285374595,74.80491185905818,63.883758470761634,2.074359226920523,15.650167076209334,17.45077503017278,32.022078882796116,1.4767465878844734,3.664543674093923,3.162717854546515,2.520240984508164,3.6936576029800703,2.479695518295172,2.9875394285374597,74.80491745394686,63.883758470761634,2.0743581412176884,15.650167076209334,17.45077503017278,32.022078882796116,12.755117614832084,14.115800421970553,4.390978996629563,108.42355030785451,0.006134674483235296,0.007286026949460162,0.18109120034846585,0.005488098218838693,133.93925738334656,115,0
17,1597,1.47674660166046,3.664542849324786,3.544356059086493,2.520235846830499,3.8639441383936743,2.027903145951194,2.468724172242841,74.80350245503712,71.68606084469509,2.074574424423365,34.4828627895541,47.04622224181961,37.45481731312182,1.476746601307257,3.664542849324786,3.544356059086493,2.520235946830499,3.8639441383936743,2.027903145951194,2.468724172242841,74.80350245503712,71.68606084469509,2.074574424423365,34.48286158683048,47.04622224181961,37.45481731312182,12.753261630445149,14.11232072472416,4.3909641075987205,108.42596066785019,0.006134535430731916,0.007286052921466915,0.18109117866957017,0.005488232978230979,143.37500977516174,123,0
13,1731,1.4767466058655698,3.664523179224957,2.2149882582121854,2.5202789281383353,3.425977960765353,3.1194339641082847,2.0251119603182315,74.80693212368298,72.8729614500177,2.074229009339933,22.115263213134668,23.831401059961323,41.03390489262826,1.476746602826691,3.6645250394108735,2.2149882582121854,2.5202760114170317,3.425977960765353,3.1194339641082847,2.0251119603182315,74.80707944752595,72.8729614500177,2.0741886220611727,22.115263213134668,23.831401059961323,41.03390489262826,12.755535780194306,14.11735108525263,4.391644772757417,108.41166553259139,0.0061347633019642606,0.007285828293725087,0.1810919500701288,0.005487458334181874,157.47981929779053,134,0
20,1442,1.4767466271267897,3.6645326307885435,3.8107846374172984,2.520243240421889,3.092693632040746,3.5972071823040785,2.571437703468295,74.80241022929447,48.94216999698211,2.0748021912304386,35.7718492868823,30.178673417354656,43.25761851096945,1.4767466264141993,3.6645327600615705,3.8107846374172984,2.520243200649028,3.092693632040746,3.5972071823040785,2.571437703468295,74.80240819273976,48.94216999698211,2.074802252918355,35.7718492868823,30.17867221463104,43.25761851096945,12.750378378942454,14.106979538551638,4.392255665530632,108.38459798093471,0.0061343813268160486,0.007286060033294614,0.1810914060259371,0.005488152613952253,129.1999545097351,111,0
12,1484,1.4767466481978522,3.6645399832929177,2.037294578745886,2.5202413114555093,2.4659485476820406,3.614210391237558,2.7757212881283433,74.80303587389851,58.562906777917014,2.0746762753816923,19.775932898123976,17.09711913292741,19.24702095092581,1.47674664361206,3.664539700501156,2.037294578745886,2.5202410839887497,2.4659485476820406,3.614210391237558,2.7757212881283433,74.802941700872,58.562906777917014,2.0746908112352744,19.775932898123976,17.09711913292741,19.24702095092581,12.75569263697617,14.11162945703049,4.390607892113325,108.43742805645013,0.00613445485762745,0.007286078054264293,0.1810913225856791,0.005488144502429166,133.41236352920532,115,0
6,1697,1.476746683110767,3.664553681071215,2.8281119756391364,2.5202290360231983,2.8283585390538053,2.099906917892174,3.0717929118310225,74.8032390942941,43.46779228379006,2.074539310907943,35.52942641756976,46.61906703507593,19.81161464511831,1.476746683110767,3.664553681071215,2.8281119756391364,2.5202290360231983,2.8283585390538053,2.099906917892174,3.0717928118310227,74.8032390942941,43.46779228379006,2.074539310907943,35.52942641756976,46.61906703507593,19.81161464511831,12.765155140955681,14.115416194011072,4.39008372154397,108.43479764522932,0.0061344943361477874,0.007286318781019137,0.18109096486279114,0.005488222020041938,139.91033101081848,133,0
9,1474,1.4767466859256628,3.664544021711491,3.1473589733445717,2.5202164821991193,3.2342899272414476,2.653289803544192,3.054116204515218,74.80073777119709,33.222534400162495,2.074942319775895,36.817604052713094,15.553743499629471,47.530303181031655,1.4767466839687284,3.664544121711491,3.1473589733445717,2.5202164821991193,3.2342898272414478,2.653289803544192,3.054116204515218,74.80073777119709,33.222534400162495,2.074942319775895,36.817604052713094,15.553743499629471,47.530303181031655,12.747145714470804,14.103782909058227,4.392574168243261,108.36812155085258,0.006134294475257961,0.007286184370836917,0.18109089701312098,0.0054886241407841145,133.9945831298828,115,0
