Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R32-sim_liq_density-wt,R32-sim_vap_density-wt,R32-sim_Pvap-wt,R32-sim_Hvap-wt,Run Time,jac evals,Termination
10,1404,1.3637480257577053,3.697593770312137,2.923464438499984,1.5622444603677388,2.8597915498764754,3.3838295671058334,2.9255978556553615,69.83035785934419,57.61688667503796,2.0,33.48258095966918,35.256111421629996,31.76519459860084,1.3637480256796988,3.697593770312137,2.923464438499984,1.5622444603677388,2.8597915498764754,3.3838295671058334,2.9255978556553615,69.83035785934419,57.61688667503796,2.0,33.482582162392795,35.256111421629996,31.765193395877223,15.450930030911412,22.86859916023093,0.0773639093822761,27.808805949463142,0.028175733866061932,0.014988271264556836,3.0852572444567463,0.014801878503843773,111.62685465812683,108,0
17,1456,1.3637480265363877,3.6975961176790912,3.0213505930039277,1.5622607919300346,2.859787641761957,3.9249060341646285,3.177764785999159,69.83060408523355,52.63200450478196,2.0,33.48234837378068,30.143560463705214,20.350441063893715,1.3637480262946626,3.697596217679091,3.0213505930039277,1.5622607919300346,2.859787641761957,3.9249060341646285,3.177764785999159,69.83060408523355,52.63200450478196,2.0,33.48234837378068,30.143560463705214,20.3504398611701,15.450877422372166,22.867624524725645,0.07735923683969173,27.81224935503694,0.028175944746413578,0.014987760403525207,3.085254497582206,0.014801568315738114,115.87164783477783,112,0
2,1415,1.3637480264156767,3.697595273460884,2.3562493231189965,1.562255932626567,2.8597886477290553,3.517887671024228,3.9409702506983146,69.8303960734153,34.97625208585842,2.0,33.482478465806615,24.473442043559686,44.893600519697046,1.3637480264156767,3.697595273460884,2.3562493231189965,1.562255932626567,2.8597886477290553,3.517887671024228,3.9409702506983146,69.8303960734153,34.97625208585842,2.0,33.482478465806615,24.473442043559686,44.893600519697046,15.450854852370703,22.867402929054002,0.07735726825819352,27.810159260789597,0.028176554351109783,0.014988279344065231,3.085329407726376,0.014801958081192909,112.77484059333801,109,0
15,1368,1.3637480294511344,3.697596702436842,2.266386983877374,1.5622498311988342,2.859787454953233,3.3028179965720037,2.404514901154218,69.83091172627013,12.309842488611539,2.0,33.482226101947994,26.17234110492244,42.19200039775688,1.3637480291627435,3.6975968024368417,2.266386883877374,1.5622498311988342,2.859787454953233,3.3028179965720037,2.404514901154218,69.83091172627013,12.309842488611539,2.0,33.482226101947994,26.17234110492244,42.19200039775688,15.452498866118717,22.86837913697771,0.07736711405011637,27.814240085492592,0.028173329622135444,0.014986744350609005,3.084989255853946,0.01480067508553303,111.81721520423889,108,0
9,1312,1.3637480298390134,3.697601730562879,2.070205978039026,1.5622437550478843,2.8597840109387933,3.3810435658277003,3.5584932585017075,69.83055153708625,14.846478076078693,2.0,33.48248724789798,20.277110388730566,36.51672510752752,1.3637480298390134,3.697601730562879,2.070205978039026,1.5622437550478843,2.8597840109387933,3.3810435658277003,3.5584932585017075,69.83055153708625,14.846478076078693,2.0,33.48248724789798,20.27710918600695,36.51672510752752,15.450135655799382,22.86964276121456,0.07737642493069538,27.81062763787339,0.02817439199325693,0.014987691758235052,3.085125831571869,0.014801343599524322,104.53329753875732,101,0
14,1725,1.3637480314903931,3.6975946938178734,2.6753522397088245,1.5622478249168903,2.8597897593470467,3.3455396909453494,2.566228887103972,69.83083929275237,67.27417747993054,2.0,33.4822746660627,46.42329776198676,24.58863822311819,1.3637480308143108,3.6975952480576924,2.6753522397088245,1.5622478308259486,2.8597891998973264,3.3455396909453494,2.566228887103972,69.83086900253952,67.27417627720692,2.0,33.48225925587482,46.42329776198676,24.58863822311819,15.45256489667248,22.868207413027925,0.07736473859699569,27.81342097084204,0.02817357040286785,0.014986929225608642,3.0850156475110584,0.014800825805373247,137.64018845558167,133,0
1,1133,1.3637480315850758,3.69760131183535,2.5782193195796332,1.5622510350295165,2.859782866506894,2.411845530534878,2.1015465133907534,69.83107707408237,53.15416915060551,2.0,33.4821237197527,17.434983411441017,45.3591569397581,1.3637480315850758,3.69760131183535,2.5782193195796332,1.5622510350295165,2.859782866506894,2.411845530534878,2.1015465133907534,69.83107707408237,53.15416915060551,2.0,33.4821237197527,17.434983411441017,45.3591569397581,15.45225786009897,22.868602349557115,0.07737252402222417,27.81595090028216,0.028172421339133124,0.0149862680617719,3.084895966497699,0.014800266494614564,91.13932800292969,88,0
12,1065,1.3637480382340916,3.6976039018508917,3.850245185244278,1.5622562931971933,2.859779666232522,2.2750581508331598,2.73173598275072,69.83102275240286,43.26912413729508,2.0,33.48211280569134,21.583993060227048,26.338570817353563,1.36374803765893,3.6976040018508916,3.850245185244278,1.5622562931971933,2.859779666232522,2.2750581508331598,2.73173598275072,69.83102275240286,43.26912413729508,2.0,33.48211280569134,21.58399185750343,26.338570817353563,15.451787662525772,22.868011753516818,0.07737037498068142,27.816042587153206,0.028173079777149817,0.014986462197437525,3.084963772458526,0.014800440759787948,84.80012059211731,82,0
13,1701,1.3637480458131384,3.697582442043921,2.623918344001568,1.5622677962299338,2.859801517301256,2.1766697293718242,2.176571509624225,69.8297410677725,24.18683143358824,2.0,33.482809923102984,32.36462460059294,24.59877173091094,1.3637480458131384,3.697582442043921,2.623918344001568,1.5622677962299338,2.859801517301256,2.1766697293718242,2.176571509624225,69.8297410677725,24.18683143358824,2.0,33.482809923102984,32.36462460059294,24.59877173091094,15.449315544506762,22.866029726653327,0.07733476485622383,27.804638118341718,0.028181492135856336,0.014990360477621176,3.0858241621957765,0.014803804685030994,135.56002140045166,131,0
18,1148,1.3637480557027313,3.6976104464869324,2.7186681407592825,1.5622343186365124,2.859775259831607,2.9118646921759335,2.2562967835274614,69.83168849431473,14.120760247964144,2.0,33.48188339813447,43.20517979838536,39.54166555509472,1.3637480557027313,3.6976104464869324,2.7186681407592825,1.5622343186365124,2.859775259831607,2.9118646921759335,2.2562967835274614,69.83168849431473,14.120760247964144,2.0,33.48188339813447,43.20517979838536,39.54166555509472,15.45323278943837,22.87112839053637,0.07739851849804621,27.820305247469022,0.02816741354967166,0.014984306513625797,3.084394040428544,0.0147985033397544,96.18006682395935,93,0
