Run,Iter,Min Obj,sigma_C_min,sigma_Hc_min,sigma_H1_min,sigma_H2_min,sigma_H3_min,sigma_F_min,epsilon_C_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H2_min,epsilon_H3_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H2_cum,sigma_H3_cum,sigma_F_cum,epsilon_C_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_H3_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
12,140,85788.02253128123,3.338587664262022,2.5858818610760115,2.342672273252882,1.8875163674077624,2.392606618201397,2.940631992572257,54.16296150295102,10.793736750092805,11.393372868170626,15.0,8.903618942122511,26.501655315089828,85788.02036300962,3.338587813576264,2.5859034510595764,2.342679874992038,1.88752408072671,2.392606618201397,2.9406309825274244,54.162903417316045,10.7938443071685,11.393476571615954,15.0,8.903618942122511,26.50157921197552,3.459749668507069,2129.265283861916,263.2135925139504,22.267834011849487,19.802635200861317,5516.03285112786,3792.48404800567,157.42768822531383,153.98252599329214,306.9376965171002,161.14375019621545,389.88281627278553,10.79665706159248,746.1063040511917,533.0673100027118,97.20174751951008,25.25132482306131,21.500053060959573,215.3587224790249,51.83410327189746,5.054750480498937,279.70146492417024,239.4079630138893,2.1445381645525687,26.67762387712917,241.89769763080804,144.2721630657533,117.01644985182796,129.19297503730775,16711.226962907433,9452.04088514103,1298.2942022806717,1617.419439315796,156.0,2028.0,76742.58515945371,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,59,85788.11117663758,3.3393154443184017,2.5847763122398444,2.3431522265740985,1.887581904611604,1.556910326475378,2.9405439503322475,54.156953846258034,10.781570658769128,11.388232528410876,15.0,9.716597163237404,26.487031676241,85788.11086438756,3.3393120559684246,2.584774248317692,2.3431532468057856,1.8875822091194363,1.556910326475378,2.9405435463524974,54.157025589524174,10.781562360428412,11.38824259859956,15.0,9.716597163237404,26.48708258371776,3.458917377955388,2114.444290105461,262.5966859803152,22.099058745440253,19.85896538293997,5524.351194165403,3797.7148021733337,157.93066950052443,154.95364507038255,302.40997476694554,157.29094717454393,387.0947489027735,10.4665615282764,738.1505706707603,529.044993737416,95.43881232538897,25.40948558843622,21.906936948789568,217.64437667065985,52.22195684005794,5.077076095610296,278.2093532682155,237.94698101782984,2.176077135808082,27.133945664908115,247.52781894044077,147.77900272399256,118.10480023815572,129.72741537553725,16684.826909162668,9441.953186920226,1298.0744517706123,700.7507531642914,67.0,871.0,80377.79930636036,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,65,85788.44388038464,3.338773274002036,2.5876006419201096,2.343110756570169,1.8868514612276983,2.31199575634583,2.940702944107616,54.17610066995255,10.794611810650345,11.388453042237924,15.0,6.945420741428739,26.49707485216844,85788.44288705547,3.338774832889475,2.5876003084478274,2.343111855251342,1.8868563790765345,2.31199575634583,2.9407030878054945,54.17606740263879,10.79459395766597,11.38845856630065,15.0,6.945420741428739,26.497052339738808,3.461316366629537,2141.462436637385,264.5897735275392,22.42592393698547,19.76906825445252,5503.978396059581,3784.519030238292,157.04054104124782,151.48380922384862,313.8480730351528,166.29276264338148,391.8078916924249,11.099463931097224,743.876660972928,530.0554566029558,97.25041644304684,25.355999386086573,21.85507843989336,217.47254415710253,52.297527967030064,5.0479264741233845,278.2640845984905,238.04617352531076,2.171656282808637,26.29221453999272,241.9184609775214,144.16831782336456,117.07756301692234,129.51470142983112,16682.02747277446,9440.155207584958,1297.82724023437,673.6956491470337,69.0,897.0,80464.52872598154,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,76,85788.49455370323,3.339770556885353,2.584335901788627,2.3430195397636435,1.8878227533599483,1.952702825788103,2.940495867373593,54.12206015020404,10.779313724683671,11.387580985451084,15.0,14.379831524074172,26.488875907061697,85788.49450595872,3.339771041748582,2.5843353233025685,2.3430187179991298,1.8878243960264236,1.952702825788103,2.9404958954501743,54.12206087687862,10.779307363144698,11.387578237624943,15.0,14.379831524074172,26.488867356203382,3.470834064841782,2123.365701920475,262.503352342966,22.15681621090353,19.948206031335232,5546.1418029261495,3811.589562613065,158.77969365167093,154.81592917329846,297.21157129727567,153.61761214633398,384.295419366808,10.50011301380972,742.1974992573714,532.1879531624928,96.07435578333552,25.420760035555546,22.153101248278,218.0410005097951,52.28377102352565,5.081056351696995,277.9092239753239,237.6220857004469,2.181778528809674,27.203716132191943,247.25783659108797,147.6104595296305,118.05698336524918,130.1311329518157,16716.727407939517,9458.881580439374,1300.2501242670407,874.6777572631836,83.0,1079.0,74947.46079628808,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,74,85788.61625809538,3.33876923677326,2.5858853160582917,2.341274646004305,1.8881140285465836,2.602909344690905,2.940749436832735,54.17932729864821,10.782840319967203,11.386058122593392,15.0,12.49857291547962,26.493515376770024,85788.61497288276,3.3387727867766976,2.5858853213433624,2.3412683671903536,1.888129905068716,2.602909344690905,2.940748730244719,54.17930245406803,10.782814188524048,11.385998455553077,15.0,12.49857291547962,26.49346455198769,3.426993796460673,2115.179100224537,263.6773639140688,22.2564298021088,19.8393027397746,5514.126868055311,3791.2917503387775,157.55083344202836,153.3851245724679,302.73701734158743,158.02452168139223,386.8931161326524,10.877167365307148,749.4237310406527,535.9657092525596,97.858596287034,25.24095789203384,21.61000905130711,215.7903918784552,52.04555906890812,5.136974783120236,278.0019264334388,237.74408572413853,2.1930919627524545,26.66243600725084,243.0273707894338,144.91293967088384,117.10222516439606,128.65570428995505,16687.054837832788,9441.31002169107,1297.7388458625346,786.2949593067169,81.0,1053.0,81649.92780691112,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,96,85788.67827790562,3.339142265249581,2.585977301330551,2.343113048413404,1.885460398162557,2.548422362619614,2.940557084963378,54.13214851523227,10.792277773029523,11.387802480824313,15.0,7.505853730130879,26.49744781070786,85788.67810982522,3.339144874328391,2.585989003643163,2.3430992652536795,1.8854519678820127,2.548422362619614,2.940555215931198,54.1321743499834,10.792284955442836,11.387735514745058,15.0,7.505853730130879,26.49743367358195,3.454885451849429,2116.391802249841,262.1290636133494,22.1311017345594,19.819233865391823,5530.087580341799,3801.1761125993416,157.86167706302726,153.15146347822414,304.87045865452814,159.68467959567198,388.19280263619714,10.878385607561416,747.2913748107344,533.7359225539592,97.44858875747713,25.34002192533356,21.72850331415639,216.68504944636464,51.871097724069486,5.031298813236582,280.3098274201438,239.97014241887624,2.124537954797519,26.626707628538924,241.00998472901597,143.70257782202398,116.84154956369198,130.16668176978618,16741.97627582604,9472.227937287258,1301.9964573115556,1001.7741532325743,103.0,1339.0,82821.21152927818,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,110,85788.84821264556,3.338190921588169,2.5858490204126268,2.342796102968612,1.8899630559060785,2.727711599284679,2.940702257759542,54.22423214600168,10.784681949288386,11.39152124396653,15.0,4.467460586329234,26.492818838673195,85788.8451268623,3.3381837825848364,2.585850187007017,2.3427908128615256,1.889968555775064,2.727711599284679,2.940704195937988,54.2243005931889,10.784580465192004,11.39145673930718,15.0,4.467460586329234,26.492783644807933,3.4562326450428347,2128.548490287653,264.3704349237235,22.28520603806928,19.763675868192628,5488.184446828961,3774.9993047044823,156.65437269934955,154.52473935688502,308.3129419222688,161.81257686683986,390.34655683665983,10.664914630355447,741.6211793170753,530.6965528243641,96.38763729759448,25.27343850063024,21.423942470728576,215.56113240666247,52.13179896011435,5.087848149616351,278.192524135914,237.99983107892265,2.182376022045168,26.834720037175103,245.88303890986032,146.72503459683122,117.69932307457265,128.50387722386745,16631.129369092643,9411.051583488104,1293.4733730680543,1222.6328282356262,129.0,1677.0,71538.52894386282,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,84,85789.71724024217,3.3401294506152017,2.587742303105331,2.343203585322443,1.8860380784523416,2.544121266876159,2.9404456142631483,54.08982029480691,10.800332884739673,11.391659461963629,15.0,12.155376373955544,26.48991060625076,85789.7135448928,3.3401088380643222,2.587682157407816,2.343017362746228,1.8858531889885617,2.544121266876159,2.940475035464391,54.089105210455415,10.79975983824613,11.391285427248686,15.0,12.155376373955544,26.489940202683123,3.469091860530411,2117.9643887838056,261.70634461458417,22.09566039029133,19.963359437947744,5560.44550833096,3820.5004492780367,159.18331109257684,150.31112648296175,314.9784768512826,167.0407472913078,391.4792495307667,11.07656923540157,736.9646111137325,524.4772133405083,95.9579066434088,25.453200998496843,22.27914299141777,218.59036435857743,52.20730615442018,5.063173060585481,278.05607555474205,237.7403194100686,2.1761973317120717,26.280192356617672,241.07669658777905,143.6503540038559,117.09919576569412,130.4227678202543,16744.093075273817,9471.451107258245,1301.1988684889322,906.4206142425536,90.0,1170.0,79235.76493524139,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,64,85790.06583458895,3.3377443701360106,2.58630902168937,2.3429290237109623,1.887385414228965,1.593947795467677,2.9407113471856943,54.24847182292679,10.787514158763194,11.391961517691138,15.0,5.2728766578893005,26.493633212655563,85790.06358912287,3.337745436846035,2.586305241349589,2.34292700690501,1.887380648579927,1.593947795467677,2.940711507814965,54.24840520646003,10.78752720298963,11.391908603906346,15.0,5.2728766578893005,26.493656547290968,3.452367311916844,2122.280139733876,264.1859271734499,22.220026476081056,19.603070111487,5461.68496927957,3757.804752565865,155.41836952149646,154.39041037607615,311.588940705551,164.29454097242947,392.1786467703655,10.730590666061774,741.9974698497459,530.5394871442115,96.58160276329804,25.326396362898528,21.23076850004744,215.9995568476238,52.04032775981253,5.077685799713168,279.1054656679245,238.90632614887036,2.162300165196499,26.706751319386964,244.5325241334743,145.89115721228248,117.39829445257224,128.26040196630206,16617.891554039084,9404.012215227349,1292.561918422501,726.01944231987,70.0,910.0,78198.21332131702,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,112,85790.51011916375,3.3373750637386816,2.587801371511887,2.3411644219962704,1.887695473428936,2.345477151372313,2.940768176191597,54.24832918992412,10.79433348995299,11.395961842251388,15.0,4.052914863473197,26.50175240311872,85790.50452232937,3.337412740976129,2.5877895656128,2.341409803097755,1.88820548514406,2.345477151372313,2.940740258055885,54.251599313675065,10.793063690079627,11.396809224232411,15.0,4.052914863473197,26.498983677427965,3.447376763031752,2127.0970401110585,264.3944278130692,22.2964307973919,19.59809309016188,5461.813731258465,3757.999301255187,155.3483339180512,152.2046947561423,314.0031277263797,166.70593081330946,392.9066919496509,11.241234543882925,753.1137541236136,536.6326829131775,99.06431035849523,25.209949777444663,20.971672875846807,214.36188878325865,51.77333779814428,5.147249506496312,279.080563637916,238.84885339620587,2.177643224661092,26.146841364406885,238.42795409269164,142.04367210481706,116.13961990571669,127.12065191483046,16635.75233104324,9408.168094650044,1291.721883046435,1202.6771104335785,118.0,1534.0,76013.82520397921,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
