Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
10,160,101543.15701837838,3.7837051595914666,3.333008856713549,3.577526061861491,2.262998346763492,2.9405534727518035,44.11321622207405,55.219442376811095,41.082775900971086,11.757173447980897,26.39589840902236,101543.15676566924,3.783700813199696,3.3330091911037254,3.577526759744125,2.262996503944811,2.940553209459556,44.11340852654919,55.21943907529491,41.08274515725366,11.757176151791722,26.39589930990537,4.338714531839227,2815.986532741624,311.7515972056365,26.943456220745745,114.10079444447574,14232.523192935723,9208.977156633247,780.6894247591804,24.409428807882023,38.3977697082411,52.18029634977832,39.81932468760741,42.85244340825813,427.1725152914425,585.83381716603,14.191956569350468,2.7678074383013493,60.3495354342606,5.388345525078086,33.16335639364148,2.256553639162387,88.02582994295685,74.66211088405599,9.32601289410506,86.67378778575889,444.4734748077309,297.30060679860924,181.5448397884282,63.749418224993576,14844.258749085957,8107.526200907102,1044.9187913745225,1303.8710725307465,170.0,1870.0,16063.56685318412,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,171,101543.80925075414,3.78681675833901,3.332259825486545,3.5771014769840286,2.262526986530672,2.9406128846205783,44.1150539909534,55.2323732619652,41.09709501393332,11.757073700615804,26.40755932783326,101543.79795736464,3.786798859860288,3.332251597954578,3.5770936511492373,2.2625573662381715,2.940610087639209,44.11299819985405,55.23225229198276,41.09720223890663,11.75697601997848,26.40763402102309,4.335057340349742,2821.60995903026,312.0943769481243,27.013259977961056,113.68048872375137,14223.427403064235,9203.722817903992,779.739983080834,22.57211965668781,39.974227999891454,52.66512489062789,38.73566939700511,43.26202883541094,427.3859434998271,586.5745783790065,14.144574181210151,2.825856434846039,59.98946243983716,6.008757089427966,33.68139352144553,2.288079982396706,88.26214986250959,74.5479244474099,9.454049507970709,87.10281210902002,449.58331262708856,300.75062420648,182.66519360167464,63.592719612515765,14871.333064120425,8119.930650360927,1046.415455282916,1336.9036746025083,177.0,1947.0,17678.829309885426,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,123,101544.75514908148,3.782727371764223,3.334644531405555,3.575897189228674,2.26389703049516,2.9404080115635587,44.1204627722865,55.10971281408876,41.15282504525663,11.749734319399185,26.392887035503414,101544.75293213966,3.782755377122272,3.334643491241832,3.575887113261655,2.2639069640545317,2.940405008786597,44.120320498950775,55.10979897018997,41.15274148086799,11.749747633537504,26.3928218918738,4.3405156281345,2809.273166767829,309.53270408481376,26.84434154062599,115.69240196612674,14344.67463590139,9276.955151220498,787.8478163844507,24.86365672680166,37.51463239030272,51.42693186058199,40.38585617836776,43.662114529419206,421.1570962862187,579.6632072076992,13.64250548186828,2.7878908012824137,60.07987183874967,5.375338723490751,32.802303975323504,2.2834731937203165,89.46487711153704,75.92237479941976,9.19439196759411,87.03299438319077,445.7187692549245,298.3107126602584,181.8021966250473,65.20875400223971,14933.75902803452,8159.654198366068,1052.7748194516744,1021.6011443138124,132.0,1452.0,26881.459738875565,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,64,101545.0724358951,3.785076578065234,3.3323876577833147,3.5771757481878423,2.2612766583517367,2.940526157749085,44.17607078314944,55.269527384702414,41.10191378753474,11.752862295603984,26.393129648367,101545.07211778533,3.7850831878695166,3.332389181619244,3.57717916246622,2.2612784013813245,2.940526616697888,44.17591253423514,55.269555772902144,41.10180417187689,11.752902180313807,26.39310087252946,4.350370519453214,2812.181597538797,311.8768227137498,26.85678411176034,112.81656791723589,14162.9185308789,9165.858671817248,776.540407327931,24.023309002335417,39.286895413525,52.37857661407378,39.42004865475863,43.52780720874493,431.9709564572833,591.8965588799463,14.452851730278722,2.801730208678399,60.06323153308151,5.663109082724585,33.17320057385594,2.315381671079753,88.25223844306426,74.8950634128133,9.31463829237429,87.22426905269342,444.20777944028856,297.20762296627635,181.50269649542952,63.008116648229176,14819.01976672137,8092.562639882539,1043.293914167234,601.515362739563,76.0,836.0,49889.05444533262,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,132,101545.34703351918,3.7849619654520272,3.333447380178412,3.579094439014031,2.2614611655283854,2.94046435638187,44.19449339425115,55.2447986286902,41.05723811669631,11.749434152405897,26.37681094248452,101545.345962227,3.78497860380184,3.333442062962952,3.5790969435428908,2.261458885055858,2.940464606521945,44.19454503124784,55.244838935400566,41.05721532872885,11.74938160216173,26.37682782211607,4.33360267026446,2787.6962124049574,310.61989192197166,26.65589574097142,113.3456263853344,14184.196831165822,9178.18803333698,778.3946463320374,24.179873582439047,39.200747835472285,51.8016827275961,39.9718079918846,42.45437937920408,431.8816164940165,591.0705651950307,14.61189796102477,2.829195085934799,59.53260794581837,6.060265988531216,33.68364828009188,2.304366618506209,87.11424001931903,73.79927211369737,9.468912746857448,86.87419000568326,447.6819644660709,299.4558332082152,181.97068777946885,63.33242152725916,14803.595570067506,8087.587750440061,1043.2336867838544,1059.0761907100675,136.0,1496.0,47166.10029309885,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,104,101545.40110202882,3.7871655020959416,3.3346505245880387,3.575704911856132,2.2632248066731666,2.9403575235104813,44.01972092010765,55.146223772533496,41.17263727304304,11.75517577351776,26.378596761802036,101545.40022411892,3.7871751911680898,3.334658799581502,3.57571036553052,2.2632705556035866,2.9403623376225974,44.01998539412479,55.14663042902915,41.17249153524618,11.755765200229556,26.37840536827302,4.324372233948232,2775.474775501591,308.28467896227056,26.53331407183119,115.01684288136912,14289.006456519242,9242.731548526624,784.4982526358338,21.38848239542639,39.42403977449659,55.40051691195363,35.36795681334592,44.49974768681418,412.2084105247367,572.045578137053,12.87230559624141,2.7742278406924816,60.43553790576932,5.150473985293576,32.42172223590371,2.3148322096360454,89.60545322188332,76.14530383496744,9.16310040367648,87.40983492937411,446.043233958096,298.47620056881306,181.9637963568068,64.43730080929299,14874.524063446095,8125.185957453208,1047.4869274100938,987.1868691444396,128.0,1408.0,26252.96257216449,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,155,101546.70962856832,3.782331047316348,3.3358714178572626,3.577588053812704,2.2618917762615203,2.940246148220867,44.25869519131088,55.102195090630914,41.1178628809359,11.745813992418734,26.36381497705623,101546.70937377452,3.7823168124206,3.335873415093702,3.577584283133804,2.2618925450848155,2.940245824100015,44.25861249967786,55.102250372280174,41.11784209546583,11.745821456419554,26.363803922505426,4.312470614004936,2749.5205418496257,306.43044229862096,26.28895927684914,115.0458980406479,14301.429636539002,9248.63324603892,785.8186458383547,26.38277246963041,38.55738327367372,49.62235829645593,43.29413500556567,43.3780808540674,425.7202600709336,585.3121368993897,14.007615070976112,2.7942447042843472,59.80831689937443,5.370352438797704,32.67525549491809,2.3281463128217887,88.41758687620423,75.31312645413328,9.194575704608274,87.11385295413125,442.63008890776536,296.21597092251096,180.9828534164894,64.75884714957543,14903.508612694905,8142.2570701236355,1050.790611756312,1357.897539615631,179.0,1969.0,23466.70759392486,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,103,101549.50766891766,3.786614665092452,3.33552503244601,3.578138737084731,2.262918227994191,2.940219194876659,44.05985320844388,55.02229784327414,41.04091446942709,11.76419455866292,26.394678267591186,101549.5073540234,3.7866060191387656,3.335525447761082,3.578140455512861,2.262924131521959,2.940219223200064,44.05976390916597,55.02226525339691,41.040838622965,11.764180375303498,26.394679720387504,4.332379867365543,2778.413925977036,305.70713621121985,26.496821207509445,115.70076576419594,14362.739466317578,9287.321476316916,787.9426265272796,22.378241000611112,39.85090683843846,53.545094731220345,37.9619902243192,42.34849473022173,431.2577312050624,589.6496605048569,14.575171613575518,2.761720731430799,60.710146519871095,4.992628206061443,32.78979012225638,2.265549731567343,87.68907616092508,74.69231978785432,9.241720271547832,86.44184744921193,437.3478525849058,292.48513618799257,180.1812449129132,65.11654206126842,15018.33217494459,8192.411243342562,1054.5409179551048,834.3426430225372,111.0,1221.0,26138.14797051248,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,93,101554.17613315524,3.786960057621252,3.33438455640088,3.5719579105029924,2.2591150294981066,2.940435112419008,44.32152020084932,55.15377624993604,41.35994648133512,11.731448311669052,26.38552999495298,101554.17602791994,3.786955300457273,3.334384891466764,3.571957015548885,2.259114832396791,2.940435054305116,44.32157337647184,55.15376130109638,41.35995187803808,11.731450751965054,26.38552615918589,4.338108739211793,2804.089090646437,310.1483527190825,26.808228847064107,113.32308980705986,14232.679159747388,9205.39336827575,781.5466167653722,23.59333681556696,40.09723945115917,51.607810093975445,39.4033397539024,48.50512552879022,410.81814365669607,574.9092458733485,12.302131500646963,3.0177984209591333,58.29915965538996,7.530726694124634,33.37086707689038,2.5651425474770364,92.3914055400186,77.7542106317871,9.332528124463728,90.31487029144928,464.3687017031044,311.2084004679071,185.75749887975297,64.22161211561891,14943.420713839922,8162.650300216891,1054.9654029285875,771.2917280197144,100.0,1100.0,22942.69316990852,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,114,101554.7099862554,3.780720177772008,3.3369834042116766,3.573551242951999,2.263487248839733,2.9402977473365013,44.13550462209287,55.04133440687009,41.25128237274215,11.758226447092754,26.358791655183506,101554.70784510951,3.780746119821893,3.33698701134211,3.5735525988991874,2.26348667923895,2.940296656143872,44.13522950533698,55.04097328330508,41.25128511906208,11.758191686316293,26.35880984303732,4.2752664154749525,2734.9104635093254,305.7898579333261,26.276736096435783,116.3944169649548,14358.16752608618,9283.406984905265,789.0840270332881,26.5386448792282,37.27011093318763,50.8559156034911,42.098738442005775,46.15470865757453,401.5578175235911,562.1569300790737,11.966283162225858,2.642594325114974,62.1154846036002,3.979787421685116,30.621407981662607,2.310264164308448,91.43798819009017,78.43934652898486,8.724014854724013,87.57756557982059,436.1038978718216,291.8860658503534,180.07764590504866,65.23179415628442,14910.004831977778,8143.356354198751,1049.4739174295146,964.0751268863678,125.0,1375.0,60334.27281286082,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
