Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_Hc_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_Hc_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_Hc_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_Hc_cum,epsilon_H_cum,epsilon_F_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,60,446.82275905544526,3.560774459166064,3.2360235183419874,1.504091997614073,2.622768838679804,2.9302193213224497,54.86580899639258,62.49276627177567,6.847100472154671,7.108613664561367,31.202552343799084,446.8227586714338,3.560774459166064,3.2360228066819543,1.504091997614073,2.622759195153366,2.930218523713351,54.86580899639258,62.49268887098378,6.847100472154671,7.108630563410938,31.202544785179217,2.006047272236715,15.009951310853118,17.7562153147718,15.042050223988788,57.33015990257263,62.0,682.0,44.944950706101785,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,78,446.8229723537861,2.656401550900504,3.235991365030029,1.566090003515126,2.622140157957793,2.930442294442827,10.05314304104032,62.48230813498934,13.675463213479167,7.107999892935084,31.20485352450352,446.8229723537861,2.656401550900504,3.235991365030029,1.566090003515126,2.622140157957793,2.930442294442827,10.05314304104032,62.48230813498934,13.675463213479167,7.107999892935084,31.20485352450352,1.996327795729172,15.01305014802444,17.757443093067334,15.04098109376146,91.384042263031,95.0,1045.0,38.5119815258904,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,47,446.8247923023622,2.4492239109252583,3.236062206361312,1.928837561685166,2.62157360125916,2.9307056657681327,57.404141710887664,62.4639094373372,3.712756817413892,7.108247138162036,31.20700006610809,446.8247922123618,2.4492239109252583,3.2360619926918983,1.928837561685166,2.621572853021197,2.930705305646056,57.404141710887664,62.46392551157179,3.712756817413892,7.10825545403153,31.206988441337646,1.9774950214838245,15.02268519072086,17.75010874926132,15.03897181730193,46.83705115318298,52.0,572.0,148.8819966249223,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,66,446.8251201012092,3.5684253692749976,3.2358819203654794,2.765738094523753,2.623475328926801,2.929935909624376,54.93746467070514,62.51235392313858,8.495608585758047,7.11056609823861,31.20285966400748,446.8251194201204,3.5684253692749976,3.23588084241802,2.765738094523753,2.6234747287554896,2.9299414610374668,54.93746467070514,62.512382061566754,8.495608585758047,7.11061522592551,31.20287601003274,2.0213130242859294,14.993281374419425,17.74577539301463,15.049430626526854,89.16095757484436,94.0,1034.0,79.91502464105275,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,42,446.8286429250074,2.9393908027633797,3.2362431123609783,2.365328782905504,2.6230402606414103,2.9298478751705934,11.930788891347389,62.48275206053845,8.879004263546621,7.099123782842985,31.20300643081822,446.8286407899444,2.9393908027633797,3.2362429316991665,2.365328782905504,2.623039034835139,2.9298481942873438,11.930788891347389,62.48275154124038,8.879004263546621,7.099092404026185,31.2030303123117,2.0464093882906247,15.059775870601625,17.839210376597286,15.012231916226934,44.31474232673645,49.0,539.0,263.43057109867664,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,49,451.176043737309,2.0394543495999127,3.822464918200717,2.310668725060091,2.9245304320870344,2.680899013117509,13.78005393466219,30.14943837786636,5.381962477718475,6.190327565543049,36.12849422686929,451.1760436809736,2.0394543495999127,3.822465032249052,2.310668725060091,2.9245304028271963,2.680898956977964,13.78005393466219,30.149433597184583,5.381962477718475,6.190332119142784,36.12848979234456,1.3820001126981143,21.200761590082703,22.308632593865312,2.898669182430357,50.65468668937683,54.0,594.0,60.134647837285726,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,32,451.1763267474306,2.888057801049226,3.822362781634245,1.542854726962814,2.9244188215394256,2.680983929768466,62.438710252004775,30.153159947249076,2.815931338945725,6.187976244123106,36.129024564186906,451.1763227811586,2.888057801049226,3.82236395557718,1.542854726962814,2.924432291552612,2.680981038171587,62.438710252004775,30.15328098483988,2.815931338945725,6.1879537255201305,36.12898649351542,1.384139015158381,21.202857320578204,22.313998131340934,2.902598791737139,38.76487183570862,40.0,440.0,102.02313524341189,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,61,505.19971450890966,3.264314315083256,3.589345647567525,1.8836656089343908,2.5020603901078746,2.8945100488332915,50.02430139494444,53.21788181493392,9.771328218972789,3.024023782556918,23.80889986202604,505.1996997495053,3.264314315083256,3.5893588404132384,1.8836656089343908,2.502133148957782,2.8944959867830597,50.02430139494444,53.217853898417175,9.771328218972789,3.024680195654175,23.80816185638237,10.303529568394207,29.42426520968317,31.909936247163685,2.64921888298519,66.80580830574036,72.0,792.0,89.51075583977263,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,77,505.20002728777126,3.4603710767479976,3.589175618682223,2.541994025268524,2.5023815994235434,2.894561824451542,24.925410288548058,53.23343485205558,7.483763743390567,3.027215005730138,23.80529255710992,505.2000261356212,3.4603710767479976,3.5891760647403137,2.541994025268524,2.502381849267408,2.89456138192472,24.925410288548058,53.23342003946322,7.483763743390567,3.027214833455138,23.80528619891052,10.29597227126616,29.375641749315736,31.847201648509795,2.6591569771185517,80.77009606361389,85.0,935.0,108.24861888267164,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,63,505.2004588792263,3.566687983273445,3.5892072478087806,1.828350700116032,2.5018719646451992,2.894426422462504,22.35207778721095,53.23920516770232,5.222000803553429,3.020583484161018,23.80340265980063,505.2004347512558,3.566687983273445,3.589208707693434,1.828350700116032,2.5018580227722653,2.8944366165875843,22.35207778721095,53.239433077352906,5.222000803553429,3.0208667861797998,23.80303040466647,10.37170038191196,29.37199080393573,31.85161821268258,2.6640478181996405,68.7972002029419,72.0,792.0,114.91691979749534,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,55,505.2005263613406,3.927459012217693,3.5891435793300164,2.77415992152649,2.5022280799170344,2.894516887036726,22.731463801854368,53.24766347169058,4.502536643476994,3.0230270258322016,23.7996186964696,505.2005263321446,3.927459012217693,3.5891435393131954,2.77415992152649,2.5022269134891038,2.8945171879647087,22.731463801854368,53.24765025285208,4.502536643476994,3.02302309132305,23.79962577592475,10.332181844341356,29.29155122290752,31.82674928231083,2.65699856188056,55.99567461013794,59.0,649.0,128.00795807798207,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,58,505.2012773806513,2.677612928326112,3.589465991732501,2.555310760367681,2.501871371288733,2.894182086443609,57.12354990787158,53.22410581742121,10.855286867326852,3.017608500086821,23.80439256333793,505.2012770615669,2.677612928326112,3.589466554390088,2.555310760367681,2.5018641598298985,2.8941839243613705,57.12354990787158,53.22398645246135,10.855286867326852,3.017632684553833,23.80441685211713,10.41081406950254,29.41343543607241,31.90648959633493,2.6538190406847946,60.14116191864014,62.0,682.0,177.67545963229418,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,68,505.2046020677607,2.777801563350589,3.5894496473315227,2.017591946148281,2.503848251434311,2.8941124448557565,41.97192126631855,53.21876170247312,9.581740161439264,3.019372843224087,23.814830014885672,505.2046020677607,2.777801563350589,3.5894496473315227,2.017591946148281,2.503848251434311,2.8941124448557565,41.97192126631855,53.21876170247312,9.581740161439264,3.019372843224087,23.814830014885672,10.30136005281502,29.22227826934933,31.73726786875397,2.6440553274574934,81.93855857849121,90.0,990.0,84.62335909050537,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,76,505.2072804353127,2.8496173017593103,3.5898509608863183,2.58643857321319,2.5003346658597856,2.8945281999575063,15.581649605425756,53.164963845036354,4.154746530614443,3.022230262875927,23.816071392498323,505.2072783678942,2.8496173017593103,3.589850876479073,2.58643857321319,2.5003350031930607,2.894528266414573,15.581649605425756,53.16497194337917,4.154746530614443,3.0222261999661684,23.81607503035035,10.322272432853126,29.7488806223486,32.194908086694994,2.629328229472481,79.19253516197205,81.0,891.0,66.74837907451817,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,60,505.2073944795078,2.708383260730094,3.5891016192503145,2.694520120262573,2.504866309621812,2.8939729466231627,39.47564252562733,53.25569941454564,6.538952951803873,3.020524859602577,23.808532087342535,505.2073863832381,2.708383260730094,3.5891013868841948,2.694520120262573,2.504864820479702,2.893971331844849,39.47564252562733,53.25563981478078,6.538952951803873,3.0205476302882377,23.808572732893843,10.334244798988683,29.05835776787548,31.592599197831557,2.659345731300044,71.90968203544617,77.0,847.0,90.67831956656896,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,72,505.21225879101655,3.92840129448386,3.588995261854081,2.252134275880447,2.504536296849453,2.893857625348612,16.515876324218198,53.29947261646901,11.946884749151506,3.0191179928242726,23.786206096420564,505.2122468461961,3.92840129448386,3.588997627451296,2.252134275880447,2.504536845472835,2.893858629842697,16.515876324218198,53.29936139776156,11.946884749151506,3.019111682492183,23.786192779049493,10.443669850344577,28.92977732414115,31.508124739362863,2.6770655691963263,74.02621722221375,79.0,869.0,121.84442668087752,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,48,505.23670482379134,2.367374102981714,3.590171081446279,1.721840504298875,2.499065539308164,2.89501168581252,22.12643750967042,53.08606425125579,5.935998540205664,3.030285192510545,23.841172541302733,505.236704250902,2.367374102981714,3.590171648332861,1.721840504298875,2.499063497688902,2.8950117869849894,22.12643750967042,53.086055409539,5.935998540205664,3.0302688528642787,23.84116093802441,10.161342121372696,30.171902837640356,32.50767013611045,2.6041171398976006,50.1963369846344,54.0,594.0,120.28180122568612,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
