Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_Hc_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_Hc_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_Hc_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_Hc_cum,epsilon_H_cum,epsilon_F_cum,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
21,130,27.06844009238057,3.754249884266376,3.2642177823588368,2.4488940914614807,2.780124774693059,3.864058385439548,70.21640010232399,28.427004002820357,4.895068347926427,12.502525332034956,46.471436529975854,27.068425722479205,3.754249808595703,3.2642177823588368,2.448893592131153,2.780124774693059,3.864058385439548,70.21613648227763,28.427004002820357,4.89510073359966,12.502525332034956,46.471436529975854,1.4690671194136518,0.304265384790817,4.823484610623202,14.174826137624786,125.47117137908936,138.0,1518.0,188.95501799636804,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,82,27.07907823675292,3.752184174269053,3.8102967901212743,2.4536862385222435,2.259244298654903,2.598541580599253,70.51326978309947,52.61003876694037,4.844435377241232,4.708824256791854,23.10822411478827,27.079056891331888,3.752169907687657,3.8102967901212743,2.453559051481719,2.259244298654903,2.598541580599253,70.51381267317555,52.61003876694037,4.844553390282961,4.708824256791854,23.10822411478827,1.530230539359546,0.2809084020405998,4.702887148971381,14.271171482603632,93.32947754859924,107.0,1177.0,51.76118660627054,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,142,27.08447843129676,3.755322452098917,2.7192384259171893,2.4475799529191278,1.9120505344889511,3.6869122836149697,69.90205636127553,31.77976977597689,4.943269095316595,9.605687308966573,49.271547746003776,27.08447843129676,3.755322452098917,2.7192384259171893,2.4475799529191278,1.9120505344889511,3.6869122836149697,69.90205636127553,31.77976977597689,4.943269095316595,9.605687308966573,49.271547746003776,1.510773209700973,0.3102031044634484,4.956249452554566,14.105195576078389,168.5437319278717,184.0,2024.0,44.62499333866241,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,106,27.09873453722157,3.754197652508844,3.9815294841534223,2.450695351666045,1.567946333674834,2.601888568713808,69.81401509551031,47.55269339429321,4.952042826617039,7.728470441687767,25.560405091163,27.098732692929797,3.7541977719339776,3.9815294841534223,2.450694554312019,1.567946333674834,2.601888568713808,69.81401922543228,47.55269339429321,4.952043688507718,7.728470441687767,25.560405091163,1.5627078430185115,0.2979095544364515,5.008238273228923,14.200254157799488,110.82125067710876,123.0,1353.0,121.91101298898472,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,71,27.1163124202482,3.7568126466173126,3.052259294484548,2.444162733140762,1.6553305120349402,3.008369142732204,69.67314420687318,56.36515234630935,4.982928682971315,8.565876511055604,47.52441997396469,27.11630809781663,3.756819204106905,3.052259294484548,2.444165449747792,1.6553305120349402,3.008369142732204,69.67316098861765,56.36515234630935,4.982931766622257,8.565876511055604,47.52441997396469,1.4684236384815403,0.3278570497142479,5.064468240725984,14.037423930494768,106.62336468696594,118.0,1298.0,45.69386585827628,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,138,27.130946208891288,3.7568906473359553,3.577427470910855,2.4441086347248744,2.5878074177577,2.69334344201145,69.58207159142195,15.6842166468362,4.996905929734393,3.869826116814645,41.24399688069138,27.13093561974873,3.756890332310288,3.577427470910855,2.4441079134620263,2.5878074177577,2.69334344201145,69.58214882134739,15.6842166468362,4.996892965683843,3.869826116814645,41.24399688069138,1.4674472306183397,0.3302305222267244,5.105986151742813,14.056606814381114,182.65233612060547,192.0,2112.0,39.30594191313616,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,44,27.204642006233478,3.7488451111587744,3.500744741939429,2.460259536442664,1.508795018196779,2.665288549132671,71.10976877187942,32.06578972826073,4.749915570496673,10.88870449871783,48.262196239222135,27.20462963059052,3.748893181641728,3.500744741939429,2.460265652602754,1.508795018196779,2.665288549132671,71.10966951393881,32.06578972826073,4.749769463402301,10.88870449871783,48.262196239222135,1.5480085772042742,0.2586994965737617,4.467532994780001,14.491144277617527,50.58146071434021,56.0,616.0,45.77028155253575,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,37,27.257198852100867,3.748901698009648,3.752892427633113,2.4586342387003866,1.8941583737509295,2.6970336142310543,71.24963387503134,74.68137405588377,4.732376635646348,8.89047123093747,15.687609622086406,27.257186818460013,3.7489001605083816,3.752892427633113,2.458642318509804,1.8941583737509295,2.6970336142310543,71.24964185413963,74.68137405588377,4.732364491727228,8.89047123093747,15.687609622086406,1.4477910781378398,0.2645934786679651,4.469428972202058,14.493621550389468,44.07355308532715,46.0,506.0,118.42466404825196,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,156,27.35624393507468,3.761237607742876,2.93437382047067,2.436102355405138,1.894870573726335,3.960145146783025,68.751317533837,66.45141905269519,5.136970583175607,12.37410202979878,43.00323458464676,27.35623912389151,3.7612364647904286,2.93437382047067,2.436106836514865,1.894870573726335,3.960145146783025,68.7512876214758,66.45141905269519,5.136985599812744,12.37410202979878,43.00323458464676,1.4562429677743365,0.3861168325572497,5.411057509477297,13.913893516757623,201.8786690235138,223.0,2453.0,29.45178079758416,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
10,34,27.476664364839586,3.761898193998868,2.843326072896289,2.435669353881715,1.824518768824814,3.475461448115002,68.4084244418151,69.66340414505747,5.191290686643671,2.913993912312593,46.44737273109783,27.47664535803288,3.7619068239148343,2.843326072896289,2.4356698431058894,1.824518768824814,3.475461448115002,68.40841118582624,69.66340414505747,5.19126643132357,2.913993912312593,46.44737273109783,1.479369528393867,0.4024172213551403,5.521851052477842,13.979358584196534,36.73493671417236,40.0,440.0,54.515431440641336,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
