Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
14,103,661.8078906881692,3.436460946865524,3.7166276728580843,3.51016437693536,3.3961144968946053,3.7289588601091994,1.9840214952551196,3.3415775815751743,2.9017478728266983,2.7642055040630344,2.9198839801773446,30.475679704497676,30.629956487288005,50.424758914819606,37.96607260338219,73.2971350652714,7.42240713147449,21.94994609494888,29.93453532718115,27.017118392104805,32.3689403554371,661.8077429834308,3.436459776679308,3.7166276728580843,3.51016437693536,3.3961144968946053,3.7289588601091994,1.9840214952551196,3.3415775815751743,2.9017478728266983,2.7642055040630344,2.9198840530757737,30.47569118684076,30.629956487288005,50.424758914819606,37.96607260338219,73.2971350652714,7.42240713147449,21.94994609494888,29.93453532718115,27.017118392104805,32.36895479096223,0.23983623265444073,8.95388636275593,7.87270896458302,5.047490689578977,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,217.23318767547607,133.0,2793.0,35298.71313615774,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,19,663.2406722411496,3.437198712265591,3.2473444141112173,3.5018848680546744,2.697796683955685,2.5398557835300517,2.8438293272941,2.8561823797425894,3.9296800942967707,3.326882995636896,2.919530657252057,30.152085491562573,71.71680181595964,39.24428867619614,47.595324935163575,36.52889217948328,3.896215841944222,46.61828321967889,35.07878203353001,15.100461446090565,32.497231024415015,663.2406722411496,3.437198712265591,3.2473444141112173,3.5018848680546744,2.697796683955685,2.5398557835300517,2.8438293272941,2.8561823797425894,3.9296800942967707,3.326882995636896,2.919530657252057,30.152085491562573,71.71680181595964,39.24428867619614,47.595324935163575,36.52889217948328,3.896215841944222,46.61828321967889,35.07878203353001,15.100461446090565,32.497231024415015,0.22887677388418748,9.015785350485872,7.486419484932164,5.046954719691979,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,57.275766372680664,35.0,735.0,66704.11738165024,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,86,972.4894943170735,2.916539393640985,3.1133063763903124,3.831212699532549,3.2831324178926744,2.7800154282824923,2.2289860006453646,3.208620965839946,3.099095843017125,3.8523628534129073,2.935761708683102,38.70126148293424,72.61206434864629,21.307118334230186,18.21141876357643,18.78014527303754,6.045297325415174,15.75336818459693,48.17895739261884,43.94904149097564,38.57247312545314,972.4888092985296,2.9165370634548378,3.1133063763903124,3.831212699532549,3.2831324178926744,2.7800154282824923,2.2289860006453646,3.208620965839946,3.099095843017125,3.8523628534129073,2.935763822037145,38.701436646029165,72.61206434864629,21.307118334230186,18.21141876357643,18.78014527303754,6.045297325415174,15.75336818459693,48.17895739261884,43.94904149097564,38.57243541623795,0.1669358629033174,56.09321783396653,52.68295534308897,22.051499173510734,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,167.3724720478058,102.0,2142.0,3994.4924416022736,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,49,972.9047162002246,2.9133339968092726,3.054116204515218,3.771884198621549,2.7145395200049993,3.817070301839598,2.435040173687704,2.031642485693112,3.8588744674875217,3.3817938350338475,2.9356400271428855,38.54004907363296,18.91382372587706,70.61870509741566,55.29318049684352,14.290011226934064,8.043704420819731,41.38566659614363,47.30585874412692,39.90336655199651,38.68831646620045,972.9047162002246,2.9133339968092726,3.054116204515218,3.771884198621549,2.7145395200049993,3.817070301839598,2.435040173687704,2.031642485693112,3.8588744674875217,3.3817938350338475,2.9356400271428855,38.54004907363296,18.91382372587706,70.61870509741566,55.29318049684352,14.290011226934064,8.043704420819731,41.38566659614363,47.30585874412692,39.90336655199651,38.68831646620045,0.18013191012605845,58.28774911899869,53.66180646588559,22.95383654861378,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,190.025128364563,116.0,2436.0,2748.9907096544985,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,43,974.8552794884667,2.9605534138627303,3.8996119827072526,3.6528139952586827,3.7082308876730776,2.1974868036406963,2.4769564985114867,3.407033976305306,3.220481625293259,3.5992305234720554,2.9347536281817805,37.347335723700056,57.56235904806927,26.880395564392956,26.70950442343954,51.099715632958315,4.762379692728652,42.88060373025507,30.615118120121007,42.39622951744602,38.17301965921149,974.676982302027,2.9599416030180823,3.8996119827072526,3.6528139952586827,3.7082308876730776,2.1974868036406963,2.4769564985114867,3.407033976305306,3.220481625293259,3.5992305234720554,2.934581528883094,37.31936392434455,57.56235904806927,26.880395564392956,26.70950442343954,51.099715632958315,4.762379692728652,42.88060373025507,30.615118120121007,42.39622951744602,38.185248172704384,0.1937250087323276,61.013234066417574,63.964989922479376,21.700077293134992,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,83.42134046554565,51.0,1071.0,3638.603783639755,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,81,975.6449427366325,2.897620255448648,2.9875394285374597,3.239911436762759,3.6579617991003572,2.3135827892921683,1.5278643032661143,2.1400442874384447,2.9726902218740636,3.2126589233066607,2.9359319807163224,39.03875770940405,74.26005003680919,47.68343925097681,34.709176220530786,45.8116342426633,7.962675447252017,38.42315127086146,24.27218451819833,17.321719204995457,38.831641624548574,975.6387134580599,2.8976442473527673,2.9875394285374597,3.239911436762759,3.6579617991003572,2.3135827892921683,1.5278643032661143,2.1400442874384447,2.9726902218740636,3.2126589233066607,2.9359233999948793,39.03853596802571,74.26005003680919,47.68343925097681,34.709176220530786,45.8116342426633,7.962675447252017,38.42315127086146,24.27218451819833,17.321719204995457,38.830537928857474,0.17280695667473706,56.289623341006944,49.80858890815101,23.026983772269062,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,233.727632522583,143.0,3003.0,3374.292139621636,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,32,976.8001425558609,2.905060749464252,3.440648986884316,2.0002287496346898,2.604665145263679,2.293511781634226,1.6385078921531968,2.3725204227553416,2.691121454086095,2.79353494846134,2.9366973077443514,39.0133476858086,54.53926752578938,23.289396232548636,67.07763336541147,11.780193557865202,7.36374008142722,29.605668082849444,34.55414399560131,19.91354285083318,38.72979161025005,976.7997686900194,2.905071145698834,3.440648986884316,2.0002287496346898,2.604665145263679,2.293511781634226,1.6385078921531968,2.3725204227553416,2.691121454086095,2.79353494846134,2.9366976931292137,39.013644608779096,54.53926752578938,23.289396232548636,67.07763336541147,11.780193557865202,7.36374008142722,29.605668082849444,34.55414399560131,19.91354285083318,38.72949604766087,0.20266181190692728,63.125481417837285,53.89771279120305,24.67290563862466,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,64.89877319335938,39.0,819.0,52846.30919264588,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,62,980.0905211346113,2.9218428373359417,2.2860116565161985,3.8026168726985476,3.0831187577747468,3.949480741710164,2.454906600002846,3.987826049220957,3.0921416082859032,3.052851867811042,2.936377015805181,39.42934796202736,11.704206874264264,20.425686668777196,58.466417525987254,11.975979845371276,4.932344777949956,45.18211884933155,39.24372011275741,39.182974972315904,38.22831306920331,979.9980910080701,2.9207670993593804,2.2860116565161985,3.8026168726985476,3.0831187577747468,3.949480741710164,2.454906600002846,3.987826049220957,3.0921416082859032,3.052851867811042,2.936427838428429,39.44999988835129,11.704206874264264,20.425686668777196,58.466417525987254,11.975979845371276,4.932344777949956,45.18211884933155,39.24372011275741,39.182974972315904,38.245950546653695,0.1253574787099798,48.46872453373079,48.7873783871211,19.120786076066558,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,140.581209897995,86.0,1806.0,7321.4976818545165,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,82,982.6971026167121,2.881540536081491,3.807683911652744,3.325439624750524,2.5404165240595153,2.5047334030091797,2.7823469140461032,3.055429292617493,3.6043221680091957,3.144977034383212,2.9366751578517354,39.953475545828454,60.10745418262273,46.975769395806516,40.27114210847876,32.27477901696332,2.545674787333633,28.227346276483498,17.786912719438835,49.39859898056558,38.86412378775125,982.6971026167121,2.881540536081491,3.807683911652744,3.325439624750524,2.5404165240595153,2.5047334030091797,2.7823469140461032,3.055429292617493,3.6043221680091957,3.144977034383212,2.9366751578517354,39.953475545828454,60.10745418262273,46.975769395806516,40.27114210847876,32.27477901696332,2.545674787333633,28.227346276483498,17.786912719438835,49.39859898056558,38.86412378775125,0.15857544253165862,52.685602749717134,44.61570516728107,22.49347983313143,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,181.29901003837585,111.0,2331.0,4628.805826449951,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,33,994.8463261099662,2.861776486526776,3.7499232899117962,3.376826504771886,3.138988825490751,2.321942873631217,2.2003200341449594,2.6903441023104295,2.450079915628169,3.1850237375315933,2.937013214432957,40.707343959591775,69.12630912185124,26.712689095842755,17.2079345483619,22.54257758124234,5.996673365431088,40.50049837911087,22.286805344307705,23.681174543203078,39.01549551609531,994.8463261099662,2.861776486526776,3.7499232899117962,3.376826504771886,3.138988825490751,2.321942873631217,2.2003200341449594,2.6903441023104295,2.450079915628169,3.1850237375315933,2.937013214432957,40.707343959591775,69.12630912185124,26.712689095842755,17.2079345483619,22.54257758124234,5.996673365431088,40.50049837911087,22.286805344307705,23.681174543203078,39.01549551609531,0.14993460430177263,48.84841413741252,39.74672061957081,22.133268666860864,0.0012798427341568891,84.655556203774,5695.158348107287,0.2250072217670122,82.06750655174255,50.0,1050.0,2927.6416022737367,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
