Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
9,51,164.55279301086097,2.479695518295172,3.671079544522353,3.239911436762759,3.6579617991003572,3.2136352535023542,2.791479440885802,2.1400442874384447,2.9726902218740636,2.925995337863479,3.1377028741729625,30.62855660594046,57.92612284143657,47.68343925097681,34.709176220530786,51.14940403345861,3.8431447372243013,38.42315127086146,24.27218451819833,32.99554645884269,27.95294692699372,164.5527794574223,2.479695518295172,3.671079739003052,3.239911436762759,3.6579617991003572,3.213635228057903,2.791479321151726,2.1400442874384447,2.9726902218740636,2.925995237384612,3.1377028741729625,30.62855660594046,57.926110854256315,47.68343925097681,34.709176220530786,51.1493957183639,3.8431483871879757,38.42315127086146,24.27218451819833,32.99554138877181,27.95294692699372,3.296481460582614,9.547920055109342,12.976644709665969,21.45599863972954,105.96725344657898,57.0,1197.0,688.6451727506883,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,42,128.81983579726426,3.977722177812989,3.43498305969804,2.56088798412881,3.578558656902977,3.384102032731125,2.1703463888652323,3.817191006186191,2.5872282967473588,3.188519931098916,2.2600571442365553,11.258852261569311,52.91033269242313,23.755827540003843,27.260532859194708,47.32083631351845,5.641289902677882,35.09411619222046,20.135500121703355,29.933513492401108,39.4915426007326,128.81972604076802,3.977722177812989,3.4349818030775965,2.56088798412881,3.578558656902977,3.3841079577689,2.1703454003862017,3.817191006186191,2.5872282967473588,3.188521207072066,2.2600571442365553,11.258852261569311,52.910254271922234,23.755827540003843,27.260532859194708,47.320793861031085,5.64130270039359,35.09411619222046,20.135500121703355,29.93341708329575,39.4915426007326,1.575211912710163,4.5967793570734905,11.317738021165965,21.69105995581706,169.92183685302734,48.0,1008.0,1397.3827871036503,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,51,124.40064648917821,3.9003522384941594,3.475772104640063,3.831212699532549,3.2831324178926744,3.37927633427292,2.75135008276278,3.208620965839946,3.099095843017125,2.9625364080850214,3.837466871267212,35.666914840031076,63.95513919524431,21.307118334230186,18.21141876357643,41.85602228736218,8.627687758919036,15.75336818459693,48.17895739261884,26.480464323624478,15.525664325974283,124.40062496333371,3.9003522384941594,3.475769213018035,3.831212699532549,3.2831324178926744,3.3792761666224465,2.751348275645387,3.208620965839946,3.099095843017125,2.9625378779336775,3.837466871267212,35.666914840031076,63.95515107716625,21.307118334230186,18.21141876357643,41.856020256594384,8.627725947687868,15.75336818459693,48.17895739261884,26.480475020366654,15.525664325974283,2.6396778806304244,5.190293226118548,4.8583957876197505,33.94940947828412,113.01421904563904,59.0,1239.0,433.27783995026203,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,88,132.31542704982368,2.834044009405148,3.4202619748304572,2.0002287496346898,2.604665145263679,3.823217911135956,2.06504508992779,2.3725204227553416,2.691121454086095,3.2060839393462044,3.0776334680067134,37.24764343621417,45.879322011286995,23.289396232548636,67.07763336541147,45.19713861542685,4.852599398241376,29.605668082849444,34.55414399560131,23.404288910166116,21.93355211797076,132.3154213652634,2.834044009405148,3.4202623667238665,2.0002287496346898,2.604665145263679,3.8232184142171444,2.0650448319453383,2.3725204227553416,2.691121454086095,3.2060837202806534,3.0776334680067134,37.24764343621417,45.879313976007616,23.289396232548636,67.07763336541147,45.19713039191235,4.8525979779172355,29.605668082849444,34.55414399560131,23.40428157160178,21.93355211797076,0.7688667013510575,1.5382155107038944,12.77542617580757,13.832421333614304,184.5172049999237,96.0,2016.0,3261.483257838174,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,59,122.67916696938956,2.3523925111501103,3.429861956691729,2.2619936896218333,3.6189813842531637,3.583582898033412,1.846602213673578,3.16402835989416,3.757663968823688,3.2417580923304063,3.8107846374172984,39.89221727809246,47.62362876161725,61.90923342488258,28.571725362719597,48.78247465666134,7.631236080488727,15.54366464427925,35.7718492868823,24.525476334358004,43.25761851096945,122.67908953674575,2.3523925111501103,3.429860557339153,2.2619936896218333,3.6189813842531637,3.5835850637136946,1.846595645564104,3.16402835989416,3.757663968823688,3.241759191459595,3.8107846374172984,39.89221727809246,47.62367309053255,61.90923342488258,28.571725362719597,48.78255700808856,7.631249382526097,15.54366464427925,35.7718492868823,24.525387162509496,43.25761851096945,0.011204592600539971,1.5393699303787185,10.905330881067226,16.573398702346626,128.45931839942932,66.0,1386.0,553.6639488409272,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,104,143.57377562995686,3.6014891373510727,3.7193476067671294,2.6268483563184852,3.3846452313386277,3.7714637625767238,2.8848821376406923,2.1700884227395556,2.0781095664657645,2.795863937716296,3.756285006858826,16.392544199148258,40.65438350857468,72.26281945978263,44.65574352324612,56.8124807156103,3.8910359353067268,39.02753246885543,44.211898516408056,22.75792783817518,41.25505102307387,143.5737459420637,3.6014891373510727,3.719351495115837,2.6268483563184852,3.3846452313386277,3.7714626969813776,2.8848812852567636,2.1700884227395556,2.0781095664657645,2.7958694842248666,3.756285006858826,16.392544199148258,40.654497927482105,72.26281945978263,44.65574352324612,56.81253937983107,3.891063926101909,39.02753246885543,44.211898516408056,22.757798709398433,41.25505102307387,0.08298380659708726,4.904551949831646,15.32516872030877,16.876893288949166,233.25177311897278,125.0,2625.0,704.3973354649613,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,42,135.16421565806485,2.653289803544192,3.398055416425261,3.771884198621549,2.7145395200049993,3.307743936367901,1.9228182826632665,2.031642485693112,3.8588744674875217,3.228280438645087,3.994645700902961,21.20213304244636,49.209499084867744,70.61870509741566,55.29318049684352,50.00996555753206,6.548066835916816,41.38566659614363,47.30585874412692,31.131732424116258,19.349483669025766,135.16420892339391,2.653289803544192,3.3980509963356886,3.771884198621549,2.7145395200049993,3.3077403849028046,1.9228122673639105,2.031642485693112,3.8588744674875217,3.228278616625753,3.994645700902961,21.20213304244636,49.209831831599544,70.61870509741566,55.29318049684352,50.01039703380044,6.548107850778574,41.38566659614363,47.30585874412692,31.131510439907156,19.349483669025766,0.12542008795580328,2.4787499671856272,13.978903848812703,20.106845490298703,176.56083011627197,52.0,1092.0,1385.234496846967,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,64,151.3775405456789,3.7332165483330257,3.636061573751823,3.6528139952586827,3.7082308876730776,3.235837386661349,2.8129691674549324,3.407033976305306,3.220481625293259,2.9192630034696854,2.0691424397432683,60.0655177460737,51.51101237470257,26.880395564392956,26.70950442343954,59.198806470992025,3.907440602182143,42.88060373025507,30.615118120121007,33.39579294326473,49.66651242683443,151.37747885134542,3.7332165483330257,3.636062314767104,3.6528139952586827,3.7082308876730776,3.2358390451003203,2.8129686743075677,3.407033976305306,3.220481625293259,2.919262474888249,2.0691424397432683,60.0655177460737,51.5109115815625,26.880395564392956,26.70950442343954,59.19883992861223,3.9074505523618366,42.88060373025507,30.615118120121007,33.39572907780816,49.66651242683443,1.6658978343083009,3.326728533720801,10.283034592622455,24.332009445125756,135.41102528572083,70.0,1470.0,4092.2955146993518,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,57,113.10394752746717,2.6004966790678,3.488672543859193,3.8026168726985476,3.0831187577747468,3.4422000587986257,2.2053925231660765,3.987826049220957,3.0921416082859032,3.171258040650418,2.27085580614434,33.12083611395228,53.351200675237806,20.425686668777196,58.466417525987254,53.02572839980987,6.95754684067656,45.18211884933155,39.24372011275741,24.59134121214449,21.60228803343588,113.10394047349166,2.6004966790678,3.4886729194710364,3.8026168726985476,3.0831187577747468,3.4421989185122337,2.2053930983645493,3.987826049220957,3.0921416082859032,3.171257927343526,2.27085580614434,33.12083611395228,53.351183888501104,20.425686668777196,58.466417525987254,53.02569984665528,6.9575563253446875,45.18211884933155,39.24372011275741,24.591370606257435,21.60228803343588,0.2788593196631592,2.8241336291947667,9.038904377049505,23.083074128059973,132.5692596435547,70.0,1470.0,2241.7300293098856,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,58,124.09949026698598,3.6237173954410795,3.5195889563025813,3.376826504771886,3.138988825490751,3.361382300958133,2.782993158607701,2.6903441023104295,2.450079915628169,2.944633280798496,2.6245396754038337,69.55986097544282,57.79592456143481,26.712689095842755,17.2079345483619,42.66661696751373,8.372115150114507,40.50049837911087,22.286805344307705,28.28596742693737,44.808515622772845,124.09947736329377,3.6237173954410795,3.5195892526404764,3.376826504771886,3.138988825490751,3.3613825665240156,2.7829934087318393,2.6903441023104295,2.450079915628169,2.9446334650791717,2.6245396754038337,69.55986097544282,57.795933883498726,26.712689095842755,17.2079345483619,42.66662333916298,8.372115009202139,40.50049837911087,22.286805344307705,28.28597001818609,44.808515622772845,5.516793202048849,5.947012901563038,5.732692879780258,29.55588995217463,182.34675097465515,92.0,1932.0,901.7832489563905,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
