Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,212,61.08092345560907,3.904411027078354,2.485583067282656,3.357899022746901,3.918834476510821,3.5919872572266214,3.622786025793768,2.6380906244558417,3.126068663804131,3.3475307222618387,2.5683446333572952,2.37623298320075,41.22483108839426,55.12885683163695,71.90698805581071,55.19159208812051,56.56433250768716,43.466952017715386,5.056853494732498,30.233145133280114,26.402671025697003,18.55103908266733,40.44834165014387,61.0809220547673,3.904411027078354,2.485583067282656,3.357899022746901,3.918834476510821,3.59198810972262,3.622786519558785,2.6380984332440844,3.1260811611933628,3.3475313833604075,2.5683470489434064,2.37623298320075,41.22483108839426,55.12901176183139,71.90698805581071,55.19153101586279,56.564317872033385,43.46707945261426,5.056804507984072,30.23298737986194,26.402600958988696,18.55106670573597,40.44834165014387,0.2152349181791441,3.5292496591866493,5.923765383101653,3.25586118017525,517.4318435192108,231.0,5313.0,156.3360156319389,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,177,61.38258549897882,2.391862087264286,2.661120196284061,3.5710027561843027,3.6792793743312,3.590676483454733,3.6176493010637607,2.6326439334034117,3.0936462690442443,3.3550614209081333,2.5646805026325694,2.802381708410532,46.71365836802592,53.9624865241595,74.9585725664251,55.585090614818064,56.27537544297915,44.33784828307663,5.103630057963945,30.639552613490537,26.14934621809942,18.57997382609871,24.5934946962508,61.38257428555166,2.391862087264286,2.661120196284061,3.5710027561843027,3.6792793743312,3.590678828556463,3.6176501168407063,2.63264032095832,3.0936472614820456,3.355060475751794,2.5646806636835464,2.802381708410532,46.71365836802592,53.96295206542471,74.9585725664251,55.58514563290988,56.275363907439946,44.33792156698196,5.103645659130796,30.639581788066295,26.14919592587801,18.579947018984495,24.5934946962508,0.2318748434185109,3.692205316855916,5.870654860799222,3.2793617812403277,421.2464327812195,184.0,4232.0,202.19401367794651,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,222,70.7679606430934,3.481585193580935,3.0891398290152527,2.281021128534767,2.939812474265195,3.618188305142093,3.272125621936486,1.83531147972462,3.110862589850379,3.200608970504896,2.8054968481535965,3.273024814258872,40.52842215875189,54.474820006967455,21.99831343029187,54.09871086780653,40.18690843611773,52.3187042557186,4.2249829992306855,30.78351206013603,35.52469790981064,23.19122934273088,41.29954771910012,70.76796045392757,3.481585193580935,3.0891398290152527,2.281021128534767,2.939812474265195,3.618188678405789,3.272125397428453,1.835311450159136,3.1108639565594927,3.200608825863643,2.805496762233201,3.273024814258872,40.52842215875189,54.47479276503464,21.99831343029187,54.098630742341946,40.18692132953117,52.31869207344416,4.224977088927125,30.783358292423557,35.524722741551706,23.19120812444226,41.29954771910012,0.2316641910052785,0.5322980671631689,9.00039615695773,5.717755767179931,526.4009773731232,227.0,5221.0,95.67698729904964,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,184,70.77196787244812,2.78272307453157,3.974783211736855,3.917521367724248,2.652621318689789,3.619922398340728,3.270660968388357,1.837903976018568,3.114821620654757,3.200503793603252,2.804945890220361,2.529033503957314,40.26196119933485,54.51356780242933,23.26353714661398,54.43507629692835,40.33730675388915,52.36524851134492,4.216344237422946,30.83293884743001,35.51968874056541,23.11108305409058,48.48195317759794,70.77196740096508,2.78272307453157,3.974783211736855,3.917521367724248,2.652621318689789,3.6199206654336913,3.2706603955756157,1.8379060306308148,3.114822046256658,3.2005023216587247,2.804948117214396,2.529033503957314,40.26196119933485,54.5135853591648,23.26353714661398,54.4350229469072,40.33737702222562,52.365208593821855,4.216377218620614,30.833102468129425,35.519717214080565,23.11111698493067,48.48195317759794,0.2074929869234976,0.5288991787464072,9.080837788381976,5.752294620197099,462.6901109218597,193.0,4439.0,307.009148236966,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,163,71.3395553492804,3.035570224980144,3.160813086300767,2.296894988258691,2.556001110077719,3.61839502088966,3.269341039286238,1.8375528942688328,3.119029045842132,3.2023974790463554,2.8033936528324013,2.602263145576715,33.519357390336914,52.3111150400797,36.41041108167386,52.53931045281615,40.26286047260876,52.309533858786,4.198370362913211,31.243186103939465,35.626133995689926,23.152619559290105,18.715647778534304,71.33953056729644,3.035570224980144,3.160813086300767,2.296894988258691,2.556001110077719,3.61839960612456,3.2693485737415324,1.8375530631902683,3.1190281757284417,3.202396809482644,2.8033936780160067,2.602263145576715,33.519357390336914,52.31094723835334,36.41041108167386,52.53913614856649,40.26263063538036,52.30959069154461,4.198342461102664,31.243361035915505,35.62608881962596,23.15245266518963,18.715647778534304,0.2136566866031018,0.5422638042400949,8.895610858977058,5.830372183351928,444.76486992836,173.0,3979.0,285.5513278266276,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,87,73.38611703366708,2.5167276182602647,3.1371501544213443,2.320493271847205,3.949283699278327,3.238640869314197,3.3726947384432915,1.9456093166672732,3.213304751816052,3.303754999628305,2.736132625331141,2.848268882888141,25.046581925472704,53.62958057059832,56.62778306121635,49.67105632721222,44.22117470448581,51.648909858642334,8.77302526431198,30.840031152235422,26.58242933001394,34.23348569219134,22.899115056917395,73.38611343769911,2.5167276182602647,3.1371501544213443,2.320493271847205,3.949283699278327,3.238640632703362,3.372693841061387,1.945609267633511,3.213304807260342,3.303754905747502,2.7361329230345106,2.848268882888141,25.046581925472704,53.62957765340797,56.62778306121635,49.67106399759853,44.22116760438517,51.64895910295896,8.77302873861132,30.84002074307607,26.582431982860545,34.23349738582051,22.899115056917395,0.3526816295206054,2.699967600800796,2.066642824217144,12.478913897916572,219.77705645561215,96.0,2208.0,269.46151523225865,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,165,81.06145869111744,2.309630477010806,3.4406459685695667,3.287462810645962,2.8880886035084967,3.74167754154174,3.65488897985185,1.9776283313121388,3.0978215751915945,2.6269307908679638,3.0895094155016194,2.178346966674499,54.091213009013806,55.82946877130488,67.91620468858676,54.05178020736144,34.62189976719467,38.00252303523496,2.8271570295359045,31.040225503116925,26.9760007005754,27.466527551933957,20.35766643024975,81.061456663204,2.309630477010806,3.4406459685695667,3.287462810645962,2.8880886035084967,3.7416778212681967,3.654888768394376,1.9776287228112843,3.097829964512138,2.626931632545835,3.089508906836824,2.178346966674499,54.091213009013806,55.829430239761095,67.91620468858676,54.05173649213476,34.62189211803647,38.00247420118381,2.8271364049673484,31.04020993721156,26.976069499184053,27.466530335969896,20.35766643024975,0.7269480358322367,2.8009843334390503,2.8425956225953666,7.562378040468465,476.339833021164,173.0,3979.0,133.5764810373923,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,194,82.48098602505901,2.434839154160918,3.251071406678764,2.179047236023057,3.581076297971582,3.784569034459767,3.173104470524767,2.3905853384106432,3.1041482481469416,2.886167217414191,2.9267741354472427,2.777161205450942,56.0736483811306,56.04003530735318,42.873884149305496,54.98630344343723,38.27506303823872,49.41168882275745,7.889063428476234,30.739220623623783,27.70120428821433,30.236817083581798,38.49032287592932,82.48098522610249,2.434839154160918,3.251071406678764,2.179047236023057,3.581076297971582,3.78456927774917,3.173103481668183,2.39058959153902,3.1041753749066787,2.8861656164817444,2.9267737191328496,2.777161205450942,56.0736483811306,56.04013167082464,42.873884149305496,54.9860983281306,38.27511022905361,49.41154714113329,7.889055756232968,30.738931803418225,27.70120125359029,30.23686313887766,38.49032287592932,0.6301351537691529,1.064467785123834,11.315886805108825,10.624996768774905,492.4199752807617,203.0,4669.0,223.1263167243983,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,149,88.00309338205177,2.4571309606025498,2.54157296135084,2.572436976891756,3.831983554343664,3.638102594197696,3.7366927449324576,2.095335599270472,3.117509254903079,2.966745308790006,2.8663246028594203,3.186717359930666,72.17670944032079,51.476641523308686,57.6200706138285,54.025345177386754,29.910224076258316,31.32096653503127,3.7530802125871214,32.953583309825525,30.62966266339436,31.401803083068117,42.00577754574049,88.00306602607806,2.4571309606025498,2.54157296135084,2.572436976891756,3.831983554343664,3.638098186233993,3.736697217116302,2.095337129125923,3.1175082196782204,2.9667402125892024,2.8663286563548103,3.186717359930666,72.17670944032079,51.47685438829572,57.6200706138285,54.02536345942412,29.91046426721024,31.32072310528509,3.7531062508509705,32.95357070674501,30.629511011807296,31.401870469681835,42.00577754574049,1.0747471965441642,1.261266250550326,2.8079240278523434,10.597189237037137,375.8028724193573,160.0,3680.0,269.2682476241229,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,231,89.1211492303812,3.840534934707721,3.178380621657928,3.080545375037898,2.025357611833125,3.784079869507147,3.807094847055646,2.2337209065967696,3.129869855958944,3.119480871224141,2.745297169698945,2.532080181735266,69.0040332143455,55.16467633243348,59.62074910957945,53.77892549783013,33.39832079943526,45.75895975440867,3.9743997009751055,30.8250402887028,20.30368451517215,25.129122347240795,49.163057570174914,89.12114851277171,3.840534934707721,3.178380621657928,3.080545375037898,2.025357611833125,3.784080063982506,3.807095328191005,2.233720515619885,3.129870230202102,3.1194831594579258,2.7452958008292643,2.532080181735266,69.0040332143455,55.16469251309598,59.62074910957945,53.77890221107441,33.39834060168195,45.75897135249814,3.97438907658731,30.825039438726545,20.30367131167451,25.12912729378815,49.163057570174914,1.167055110543506,2.92032819179041,4.579063554749041,6.947779130856008,622.7664902210236,236.0,5428.0,55.22934541255884,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
