Molecule,Property,Model,MAPD
R14,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.6762522281793723
R14,sim_liq_density,Opt R14,0.28732606544656564
R14,sim_liq_density,Literature,0.6117128809127378
R14,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.786080715898094
R14,sim_vap_density,Opt R14,1.849313814308242
R14,sim_vap_density,Literature,1.6525987341680621
R14,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,5.716533717356485
R14,sim_Pvap,Opt R14,1.588711945577404
R14,sim_Pvap,Literature,6.244527769818592
R14,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.077574954583845
R14,sim_Hvap,Opt R14,1.5990340959976805
R14,sim_Hvap,Literature,0.7182643936869869
R32,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,4.638884119687627
R32,sim_liq_density,Opt R32,0.28413713095086945
R32,sim_liq_density,Literature,1.0724809366298087
R32,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,11.889478437796367
R32,sim_vap_density,Opt R32,0.4296845089483592
R32,sim_vap_density,Literature,2.025986811441818
R32,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,8.237885779160417
R32,sim_Pvap,Opt R32,0.6187536498761391
R32,sim_Pvap,Literature,1.8938938183889802
R32,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.0418890392692866
R32,sim_Hvap,Opt R32,0.6922067229596028
R32,sim_Hvap,Literature,0.07051329971285672
R50,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,4.182707921820526
R50,sim_liq_density,Opt R50,1.0923174236913964
R50,sim_liq_density,Literature,3.3311181000190753
R50,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.0194796225338263
R50,sim_vap_density,Opt R50,0.3031916756571501
R50,sim_vap_density,Literature,0.7755364058016898
R50,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.9388279753173103
R50,sim_Pvap,Opt R50,1.7607350645844522
R50,sim_Pvap,Literature,2.09289318326476
R50,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.8642138371396904
R50,sim_Hvap,Opt R50,3.3666736229651417
R50,sim_Hvap,Literature,2.7818754880276426
R170,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.252494828050984
R170,sim_liq_density,Opt R170,0.9820937034188671
R170,sim_liq_density,Literature,1.9253838725161052
R170,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,4.143164544000859
R170,sim_vap_density,Opt R170,1.05150699367189
R170,sim_vap_density,Literature,2.740039657340543
R170,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.885728902269519
R170,sim_Pvap,Opt R170,2.2609690616393325
R170,sim_Pvap,Literature,2.876524027765325
R170,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.407801843789788
R170,sim_Hvap,Opt R170,3.528089411312655
R170,sim_Hvap,Literature,2.056883704944747
R125,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.6058088767499572
R125,sim_liq_density,Opt R125,0.37643602306833585
R125,sim_liq_density,Literature,1.2203965781644792
R125,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,5.0282726662833
R125,sim_vap_density,Opt R125,1.5693538848445476
R125,sim_vap_density,Literature,7.943790939091105
R125,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,6.467444823163689
R125,sim_Pvap,Opt R125,1.9495237331703485
R125,sim_Pvap,Literature,10.281083274558164
R125,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.6817394230713156
R125,sim_Hvap,Opt R125,1.1851842319418537
R125,sim_Hvap,Literature,0.6075905054369125
R134a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.6514899412415747
R134a,sim_liq_density,Opt R134a,0.6679130030963858
R134a,sim_liq_density,Literature,0.36738085400590786
R134a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.0233335033591815
R134a,sim_vap_density,Opt R134a,0.5925659836376244
R134a,sim_vap_density,Literature,1.6361571423825925
R134a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.3562231130716977
R134a,sim_Pvap,Opt R134a,0.6594586315469328
R134a,sim_Pvap,Literature,2.507469979578894
R134a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.8982683316460407
R134a,sim_Hvap,Opt R134a,2.5054511049271184
R134a,sim_Hvap,Literature,0.4159900237378537
R143a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.272806214031548
R143a,sim_liq_density,Opt R143a,0.32341004337408596
R143a,sim_liq_density,Literature,1.0848459051625203
R143a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.6832597247102763
R143a,sim_vap_density,Opt R143a,0.7012847868427802
R143a,sim_vap_density,Literature,3.1101843618919314
R143a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.658369553200304
R143a,sim_Pvap,Opt R143a,2.25543029684673
R143a,sim_Pvap,Literature,3.084807717710513
R143a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.5633288828817435
R143a,sim_Hvap,Opt R143a,3.1269115561279426
R143a,sim_Hvap,Literature,2.255552059524658
