Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,483,6526.251178406295,3.8343883280843865,3.457765743158186,3.854440238147629,3.3724641860604265,3.3066772142704943,3.7778048244851736,2.048426112864128,3.2002026825091594,2.840531112889784,2.98058369065712,2.9240918844001214,58.609044001220525,38.33442047721776,46.4931290972663,60.55934669252387,34.79454891399339,36.720649481442194,9.688687671726347,33.200066521026386,46.00929955440367,20.33752691240518,28.91367604743173,6526.250730023824,3.8343872468795066,3.457766469515608,3.8544431631285017,3.372469860525501,3.306686693392178,3.777809053432639,2.0484241421939564,3.2002211758782835,2.840527394848533,2.9805912068253164,2.924091105856351,58.6089639831041,38.33438295320673,46.49309845826506,60.559240618626056,34.794676536308124,36.72042287978328,9.688710432997356,33.200239909512206,46.009235728888825,20.337465220275615,28.91367317666976,0.6742246678709516,23.22999848001795,98.06929690236876,4.259517346056125,27.375184535206223,236.5097972129341,109.14454037365034,1.5018600474722426,21.915913704757912,6.465788713087533,24.070596175144917,19.23788885573699,7.68206419098454,30.631184271891936,13.853702159787332,31.974158101779544,3.2931404296859057,42.38606434805226,53.37164982087823,9.476412608276974,0.5339550864117044,12.35648374878513,15.52852975440292,4.533205614124322,6.935349016971498,8.942063880263783,9.764988983639965,18.058129083395112,7179.222007751465,489.0,11247.0,7553.616626698641,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,512,6526.354015254163,3.8343363690084815,3.4569909331423387,3.854671853509521,3.368546996781549,3.312833748824804,3.77074967554756,2.0434347688387136,3.2379595216688872,2.841033765349885,2.980579004897002,2.9241598045149053,58.8410342344723,38.36251831089453,46.60620973683852,61.27497862241769,34.653633463840904,36.5531747602358,9.681376311931327,32.77832067550364,45.97788429953695,20.550273455878795,28.917364265363084,6526.35387634982,3.834335437371511,3.456991206951935,3.854673448599808,3.3685431094491824,3.3128361500179566,3.770748612570158,2.043434127767074,3.237971508490672,2.841036581842373,2.9805795732393774,2.924159557197132,58.84112046823031,38.36251290324582,46.60625371646076,61.27536432660603,34.653558136775466,36.55314593454344,9.681363687072215,32.7783123571402,45.97788931367628,20.55028964026413,28.917352624749185,0.6787571424740336,23.92011681361059,97.24715359666476,4.294007548876559,28.01285429506133,235.6038893000586,108.21968731971188,1.5701319668372586,22.523333343843703,6.523291031802788,23.554912156208168,19.596669921480373,8.042052561605281,32.14935520917051,14.544905678336146,32.15468636225722,3.355370766261612,40.22395278543238,53.10672338859796,9.931892548302402,1.7329145075054344,14.827118684525864,17.791773547775712,3.4413923791236507,7.089595541996253,8.456018633929387,9.74106694240097,18.385075523677973,7236.676336765289,524.0,12052.0,4613.666151523226,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,541,6526.662480262267,3.834181643993425,3.4575662600351933,3.854245442580753,3.371863585295288,3.319919670646445,3.775475740069948,2.046852096789172,3.182269836592707,2.84072622789384,2.981077655531843,2.924114841178391,58.66348353291919,38.34110320924828,46.519702106613714,60.52908470102591,34.227438393672934,36.97561262083605,9.691352871056347,33.012677182806115,46.0047695064504,20.261978243880524,28.915460294620917,6526.6623288132905,3.834179571185714,3.457565248017022,3.854244177261288,3.3718599279022508,3.319922167305656,3.775473362325146,2.0468495343138957,3.182274752020616,2.840726641852517,2.9810735335891065,2.924115028066164,58.663464060492345,38.34108698744746,46.519746849312654,60.52937941140256,34.227343064532576,36.975764145044046,9.69136416799954,33.01267429051753,46.00475867988254,20.261899823649603,28.915456183797843,0.6773048853238338,23.730275084066054,97.73904924909846,4.284704518564774,27.61244367936952,233.89853978302733,107.5858974081212,1.563261931885091,22.29950436523317,6.498583274339277,23.966041063443114,19.40644695933602,7.881226760722326,31.06210436188888,14.067193176545658,32.10637238396679,3.1590335320255813,42.42631754460167,54.48031213751098,9.18767409306513,0.1824992756074539,14.289807734895083,17.520320032342987,4.568034677424056,7.082799662627059,8.719854540905661,9.68879120450481,18.13268424118121,7290.025618076324,550.0,12650.0,5836.190638600231,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,442,6527.292935014286,3.834843625662636,3.4549699641224048,3.8548928386965593,3.363203078917601,3.3122211027814914,3.78043375763766,2.047367796049833,3.197928298125536,2.8408678245902363,2.9796270059180365,2.924303559223322,58.60858535751896,38.4469059554259,46.49180040821896,61.179640878750725,34.6980627570313,36.29450109728699,9.697965201910916,33.04857471049575,45.94586230207579,20.47834618989968,28.9189810682456,6527.292867543457,3.834843895599529,3.454969734249918,3.85489311860527,3.363202582351254,3.3122238455105766,3.780435557008362,2.0473678222683,3.1979280411742628,2.840866560990204,2.979626053989785,2.9243035508541926,58.60855249264592,38.44690300609609,46.49177539917402,61.1796578738466,34.697917800535265,36.29451270897928,9.69797782193704,33.04854305224791,45.94585453171872,20.47830061318034,28.91898322110464,0.6791181482956534,23.725769221806964,95.99918457760818,4.279526197374262,28.179010021826244,234.52844839374748,108.14148914786485,1.6282975468422145,21.627480905319345,6.740381806306327,24.76247622948096,18.81779610459828,7.653988963263633,30.744591375468342,13.92765321531307,31.937920239663477,3.193279910542075,39.41241537163762,53.70571885645512,9.544696396147694,0.4513444419462105,15.187526785704176,18.324718132309894,4.016827753412927,6.851911857509182,8.965760224160777,10.03526655805758,17.86953567500671,6723.307499408722,449.0,10327.0,5838.928217426059,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,521,6527.615475432852,3.83415642863121,3.456973966661235,3.854007326896817,3.372889869578711,3.3205100613325373,3.778611744584631,2.046823367175633,3.1675402101071617,2.840685509162016,2.981344054013095,2.924137441193124,58.592203262828825,38.367141361885935,46.49712823803953,60.271892894567365,34.30104570611908,36.790664563475474,9.706070992984138,33.148506359604205,45.96326921849693,20.285265471989625,28.9152911080687,6527.61542114048,3.8341594198032087,3.456974718276836,3.8540071531913416,3.3728868153547347,3.320509947386417,3.778608636892306,2.046823118536348,3.1675409378817028,2.8406855967991,2.9813447918385263,2.924137622640933,58.5921997952261,38.367142825694806,46.49714145606849,60.27195644509485,34.30109380977084,36.79065622159703,9.706067910662552,33.148495903051696,45.963237840146256,20.285347258378103,28.915281262533227,0.6790341522410301,23.732005939215952,97.41059124330502,4.275765034691086,27.695506910119686,236.38044176226728,109.2269916487362,1.5448580914651795,22.24217641987999,6.672146785105726,25.07644057201645,18.86315916166417,8.055140369229527,30.88095986034147,13.531840703108822,32.65390292142503,3.099400831444996,40.811535663209256,53.58079663612212,9.43788119519473,0.0579862087126316,14.11333723652461,17.382491539247685,4.794167524808319,6.939934315436865,8.778315564104814,9.725110278977663,17.96265303227674,7658.591716527939,528.0,12144.0,3780.8873967492673,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,445,6528.1328063327055,3.834825169495568,3.456669840433994,3.853085104597607,3.378433715415407,3.319844157777492,3.774065431559434,2.045605522223197,3.2017278238506783,2.839409152025702,2.9834356212996487,2.924142335223199,58.63906796187763,38.37912859233955,46.494376994454726,60.08585348661145,34.279481798616445,36.88588201483878,9.713521035565332,33.273955381845575,45.9371273638786,20.36049136421298,28.91507252350556,6528.132553258657,3.8348245064902,3.4566697846539367,3.853085835906658,3.3784395163805407,3.3198467827643503,3.774059551826429,2.0456060258351,3.20172100518364,2.8394092077208337,2.9834337337918013,2.924142356598312,58.63910675194605,38.37911357748377,46.494383182808285,60.08551231532262,34.27938310576992,36.88594691610978,9.713514356494109,33.27371235923604,45.93717990737233,20.360571352770844,28.915077224320274,0.6778831423325965,23.39821582749693,97.32371119180635,4.254825113946969,28.64199908963337,235.4862402213322,108.99864285840728,1.6336317025387834,22.106292094482644,7.095338596841101,24.314150906093666,19.31972631954346,8.254801296017822,31.27435798081958,14.970150783050284,31.84343262473149,3.0028018185336034,41.25170191430273,52.63665558442172,9.301443411457022,0.697905436149439,10.933790654157283,13.990791857162606,4.873044104709509,6.876413289377,8.742088704330751,9.07975831572819,18.49167674760976,6170.095010519028,454.0,10442.0,6138.15194955147,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,518,6528.755494789355,3.832483525959971,3.4580602280391037,3.854586955258551,3.360677441007742,3.3054265971919907,3.76084586484121,2.045713978184606,3.26632865209411,2.8416980792301887,2.982474070224826,2.924062502498788,58.60729096949707,38.31842443436029,46.48632131572611,62.11445957478014,34.92274944150646,37.27305165938161,9.717488563310436,32.33391172644024,45.97176372604596,20.41984366741689,28.915018453965768,6528.75505422041,3.8324776545690686,3.4580550233240253,3.8545899090753615,3.3606722571503385,3.30542119120746,3.760841438468976,2.045707396875568,3.266323546231312,2.8417015397378416,2.9824772562891138,2.924065450816924,58.60719123517401,38.31847723486997,46.48601217858641,62.11442018547884,34.92283923787803,37.27320791146342,9.717504310671387,32.334033954986936,45.971708314549545,20.419705829358207,28.91506461409008,0.6754250032064186,23.405888055987106,98.14334611637555,4.266746211118274,26.94914109939364,237.1695398676128,109.50440984235053,1.4765052923503068,24.02894183635781,6.4427731840625,24.21454236005764,19.92314504524664,7.930826980510504,30.958375503687414,13.99296395136773,32.22827401454069,3.4974587045879346,42.75448216860862,51.11845256151392,10.166648188812868,3.0224153170536425,16.746695539978045,19.502689982305228,2.87266966869402,7.142551974576463,7.407338168894015,9.45575030350902,18.43430060648061,7056.6118948459625,525.0,12075.0,3614.422595257128,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,368,6530.966548524036,3.8334948096174815,3.4590134369386982,3.8552427916544896,3.368848465200904,3.346723059819664,3.772603803093793,2.0494869085266543,3.227360694093766,2.8393956558703826,2.978771540163807,2.9240827291335862,58.29180251295765,38.2748362833135,46.3133227572289,61.17265833514103,33.319507070179576,37.0165454959178,9.759776413545348,32.68680290275703,45.92209356462237,20.28260974683886,28.916161941362684,6530.966469209712,3.833495446918403,3.4590148221468686,3.855242300544478,3.368847392077074,3.346728382819504,3.772597842121779,2.049485539475928,3.2273621514420885,2.839396456935951,2.9787729979738904,2.924082076759727,58.291844909170784,38.27477087184722,46.31332598631258,61.17268245573862,33.319305558385146,37.01682995775312,9.759774679308167,32.68684342693851,45.92209775562542,20.282633512810147,28.916158456092933,0.6674994767501072,23.13574716259837,98.63354556300074,4.289513568891844,27.035848684425,246.47223750812597,115.91048649570202,1.3588447453630923,22.881106740767617,7.296524791698607,25.971277401154538,18.98652506249956,7.402175960622434,29.262974134463526,13.691916225456488,31.621448327479392,3.3300115210920977,39.305393109833744,59.341679706878345,9.18850765920326,1.1427346197750057,14.118261058833117,17.264213830708808,3.7376229025975936,7.3649528389123375,7.679635692916043,10.266269139278805,17.703119709085865,5199.067752599716,374.0,8602.0,25324.41403321787,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,459,6531.2047690017,3.835286132295395,3.454933363974697,3.8552100639613114,3.385829459659264,3.303571178929496,3.7744382009171416,2.0436701086195,3.188912073389929,2.8427197248499256,2.981276612598767,2.924299396318148,59.097157225565184,38.43585301791809,46.74993118530119,59.73141636956167,34.93739839384451,37.00734333782562,9.612873319691705,33.439047967259896,46.022149602407566,20.24989527465715,28.92292311605248,6531.204762805621,3.8352861054222416,3.454933359456187,3.855210098986588,3.3858296073074303,3.3035713051107334,3.7744381442546793,2.043670087672306,3.188911788961899,2.8427198307852346,2.981276640156252,2.924299395151202,59.097160459428885,38.43585231938639,46.74993235366191,59.73141849425672,34.937390504886324,37.00734207251684,9.612872225211689,33.43904152378214,46.02215032517038,20.24989466944648,28.92292330945879,0.6756396980640156,23.279469333740167,95.85718580731604,4.26308264632933,27.694924422199065,238.81204777030356,108.8927009728524,1.4945930454550176,21.352998259982208,5.887342810714333,21.896659349966995,19.747601662359603,7.837957181056427,33.02778094501258,14.323179420825005,32.27461910686254,3.259087690965277,43.966025825056654,51.744986980901984,9.535392936636038,0.3144289880868696,10.211508596964432,13.303251845716924,5.309750207069075,6.955312039544609,9.032253178230174,9.9219021011385,18.06093239767257,6704.220338821411,464.0,10672.0,6040.008384403588,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,403,6531.677718937808,3.834248652042562,3.456181624794843,3.8544950496654806,3.35740169756226,3.33579554504192,3.777689267153704,2.043570458818073,3.261966440499778,2.8405385000400454,2.9781248139445515,2.9241973905578504,59.06743086402973,38.35706297113893,46.76579163362397,62.15433626136084,33.655241327396205,36.36067302980113,9.61973109100777,32.91283637124795,46.053270488797786,20.48341935128979,28.932228528285396,6531.677660777545,3.834247906164114,3.456181746333846,3.8544957803328006,3.357399436281604,3.3357884439066456,3.7776875703497264,2.043572256982028,3.261981274476095,2.840538117139409,2.9781264884787344,2.92419746957056,59.06739934480249,38.3570405016269,46.76579944640481,62.15449428304428,33.65544649492372,36.36084904848211,9.619707042194095,32.912835950718765,46.05327466136917,20.483377271508143,28.932243310769877,0.6759521823929381,23.59224515205525,96.03248997674216,4.28832862099304,28.51947967066125,238.8165605942491,109.1660544109774,1.5443190082735825,22.211085174069936,5.670766041329103,22.05222226280179,19.93546588553881,8.369577315625666,33.126858617301174,12.586145346323912,34.1523990449193,3.184502804438508,40.10672259265803,57.6743170841594,9.17954211340202,2.57296358433752,13.960932551410169,17.070168846029276,2.946488037795356,7.362766284179878,9.680529187829398,10.00343425742259,18.552356264202977,5705.97847867012,411.0,9453.0,9815.502478017586,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
