Molecule,Property,Model,MAPD
R14,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.7258365268604118
R14,sim_liq_density,Opt R14,0.36190782527367055
R14,sim_liq_density,Literature,0.6117166848471229
R14,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,4.700769359419353
R14,sim_vap_density,Opt R14,2.0935429913300574
R14,sim_vap_density,Literature,1.6525987023248665
R14,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,5.388474040644905
R14,sim_Pvap,Opt R14,1.9269363203441032
R14,sim_Pvap,Literature,6.24578048146537
R14,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.081997047413327
R14,sim_Hvap,Opt R14,1.6022547731435404
R14,sim_Hvap,Literature,0.7182643872646561
R32,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,5.662115956577744
R32,sim_liq_density,Opt R32,1.2500804437843247
R32,sim_liq_density,Literature,1.072463664952881
R32,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,19.08536853605537
R32,sim_vap_density,Opt R32,0.7734581086116269
R32,sim_vap_density,Literature,2.848932265723945
R32,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,14.274858260067688
R32,sim_Pvap,Opt R32,0.718965076015767
R32,sim_Pvap,Literature,1.8467267017414486
R32,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.1532554582796863
R32,sim_Hvap,Opt R32,0.653965425697022
R32,sim_Hvap,Literature,0.08743010799268704
R50,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,4.905759897145865
R50,sim_liq_density,Opt R50,0.9888533709561942
R50,sim_liq_density,Literature,3.3311181000190753
R50,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.0080677615797
R50,sim_vap_density,Opt R50,0.48858078057528503
R50,sim_vap_density,Literature,0.8688196920644282
R50,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.270868582641332
R50,sim_Pvap,Opt R50,1.6391069880711158
R50,sim_Pvap,Literature,2.09289318326476
R50,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.200517327294297
R50,sim_Hvap,Opt R50,3.389299841356308
R50,sim_Hvap,Literature,2.7818754880276426
R170,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.7193077917541375
R170,sim_liq_density,Opt R170,0.8438146983422614
R170,sim_liq_density,Literature,1.9253838558148197
R170,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.8697542576716053
R170,sim_vap_density,Opt R170,1.2665796542681982
R170,sim_vap_density,Literature,3.418517835168827
R170,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.044112929012218
R170,sim_Pvap,Opt R170,2.033684095630637
R170,sim_Pvap,Literature,2.876524033042353
R170,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.688315451298907
R170,sim_Hvap,Opt R170,3.8517087862619612
R170,sim_Hvap,Literature,2.056885821435632
R125,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.1374113352578739
R125,sim_liq_density,Opt R125,0.3722705405533372
R125,sim_liq_density,Literature,1.2203901620478557
R125,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,5.0638827002633935
R125,sim_vap_density,Opt R125,0.7273319497277426
R125,sim_vap_density,Literature,9.919665087368497
R125,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.6050138283707662
R125,sim_Pvap,Opt R125,1.5547390282435902
R125,sim_Pvap,Literature,8.740914904997096
R125,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.9166007591164713
R125,sim_Hvap,Opt R125,1.241081354917092
R125,sim_Hvap,Literature,0.6067346476334883
R134a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.2026185039743691
R134a,sim_liq_density,Opt R134a,1.837111024442998
R134a,sim_liq_density,Literature,0.3673816946484676
R134a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.5942289175503337
R134a,sim_vap_density,Opt R134a,0.5308971645517234
R134a,sim_vap_density,Literature,1.6369478249394938
R134a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.6764570900927813
R134a,sim_Pvap,Opt R134a,1.1847709148905137
R134a,sim_Pvap,Literature,2.5047670807900575
R134a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.640107792281164
R134a,sim_Hvap,Opt R134a,1.3307504598379636
R134a,sim_Hvap,Literature,0.420308887050112
R143a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.357792542150854
R143a,sim_liq_density,Opt R143a,0.546807525995444
R143a,sim_liq_density,Literature,1.0848459051625203
R143a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.8621943094897337
R143a,sim_vap_density,Opt R143a,0.5160915821720127
R143a,sim_vap_density,Literature,1.5107886069736822
R143a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.447832235098262
R143a,sim_Pvap,Opt R143a,2.1904037276363133
R143a,sim_Pvap,Literature,3.0848779873955094
R143a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.6122662987382195
R143a,sim_Hvap,Opt R143a,3.1600750277051413
R143a,sim_Hvap,Literature,2.255552059524658
