Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,322,85.16523916806801,3.241102640442361,3.733461151174698,3.3586630551283765,3.336187592660415,3.3951238904425267,3.843969128999501,1.7130863434193455,3.123649681631141,2.142605576540714,3.2713035381718014,3.3775759384846573,21.346480624862902,54.63579531413894,53.24219262839067,55.433161396382886,46.70137080225394,46.36510334637186,8.570003015461472,31.32023688310716,21.5904338295276,18.673921772311363,46.348285711995935,85.16521897480835,3.241102640442361,3.733461151174698,3.3586676318980766,3.336187592660415,3.395125799224438,3.843940235332907,1.713092846800984,3.1236457511633886,2.142605576540714,3.2712768731958124,3.3775759384846573,21.346480624862902,54.63587151999097,53.24209215180179,55.43298291703699,46.70137080225394,46.36504219602057,8.57001461884224,31.32020388757441,21.5904338295276,18.67407847318031,46.348285711995935,0.4447592082582962,0.3972600942168107,8.157356516573065,12.895086261822549,958.9785869121552,423.0,9729.0,208.37744027000625,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,125,85.81835677705452,3.602015206460582,3.346243399395316,3.3560006949945302,2.613401979477174,3.3879914870806567,3.8453716940880622,1.7111895615666677,3.115539899312007,2.193101473544491,3.272602959832221,3.7909391479448926,52.49252743744855,52.1312856142545,52.738653802833966,57.17569933593446,54.338381049418295,46.49993515164466,8.484878756134917,30.43985418145835,35.01354735296672,18.77997282288544,29.606076535160582,85.81835638975059,3.602015206460582,3.346243399395316,3.3560006554113646,2.613401979477174,3.387991352061639,3.845371950925495,1.7111898582506215,3.115539718630736,2.193101473544491,3.272602951450761,3.7909391479448926,52.49252743744855,52.131284157492246,52.73865180573892,57.175701816362185,54.338381049418295,46.49992907628497,8.484878447315397,30.43985239821433,35.01354735296672,18.779970931334294,29.606076535160582,0.3906699014589075,0.4469551847979248,8.246474397337355,12.953413389597166,284.4834420681,131.0,3013.0,330.5860911270983,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,163,85.94417790019739,3.660816270799125,2.69421306477293,3.362568359735564,3.731837331999021,3.3842834266147,3.8483085340374807,1.7179449517476182,3.149413563589018,3.243183628976743,3.269369934823485,2.586639100939463,65.6089168243282,52.07945332149091,52.186551242976414,54.7355672377274,18.28298496346014,46.320528410162325,8.542839588387881,29.297037383207364,35.684870670188175,18.834164165906973,38.648750592471806,85.9440601620143,3.660816270799125,2.69421306477293,3.3625786067667462,3.731837331999021,3.3842717560358957,3.8483118956421496,1.7179453417887525,3.1494349016515875,3.243183628976743,3.269365768830423,2.586639100939463,65.6089168243282,52.07996370494726,52.18626861026317,54.735641522844006,18.28298496346014,46.32039932251451,8.542918006386769,29.29692671487468,35.684870670188175,18.83409553640025,38.648750592471806,0.3996210786773312,0.4519618257676873,8.13739348795653,13.021344624474246,356.2792809009552,170.0,3910.0,424.5213962163602,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,124,86.63179863341533,3.936142671430047,3.107599633214899,3.354141924352463,3.615887579824266,3.412323566108096,3.8388830466854817,1.7203530713376416,3.1672146036670967,3.596923068709255,3.271879077356798,3.388211186235159,21.55248270830278,54.90195032179835,54.5778503720618,53.721875575145056,68.90540581247953,45.94379159028461,8.458159411482823,30.469880215829274,18.76434131925738,18.686637245080785,20.11568054528795,86.63176683067466,3.936142671430047,3.107599633214899,3.354145530217945,3.615887579824266,3.4123261806859984,3.838887394763168,1.7203538394900664,3.1672101771236494,3.596923068709255,3.271878962211285,3.388211186235159,21.55248270830278,54.90195247684774,54.57775842602172,53.72190104409571,68.90540581247953,45.943722892880025,8.458092471624251,30.469901113063397,18.76434131925738,18.686616307666117,20.11568054528795,0.3960928502486884,0.3215165122925567,8.22559999302931,12.960353556732604,292.77859377861023,133.0,3059.0,297.9900879296563,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,350,100.4788206010788,2.590348800696563,2.185710927642699,3.279936097562995,2.991975978507164,3.373354203529183,3.614892999030599,1.7764437081308535,3.1096207551595785,2.5919469013394543,3.3016481241151907,2.8642832033807903,56.16588281971169,54.86510864659726,62.49944399373033,56.642514547853786,65.63072620286489,50.589701860614994,7.30966504310156,30.307774310510336,25.72004057119817,21.040928492576217,26.7131856940078,100.47879442717624,2.590348800696563,2.185710927642699,3.279939503419102,2.991975978507164,3.3733508566952777,3.6148905186043976,1.7764389227078037,3.109618748775355,2.5919469013394543,3.301649664970788,2.8642832033807903,56.16588281971169,54.86507900898973,62.499428415177256,56.6425977530664,65.63072620286489,50.589802397131365,7.309671761041661,30.307730537025247,25.72004057119817,21.040882668850188,26.7131856940078,0.0071725903892317,0.8359068150256798,9.311912030281905,14.590186763564768,1566.240938425064,392.0,9016.0,422.6263788968825,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,216,102.6632597535894,3.6243885222133048,3.544558525482781,3.3185528140981964,2.117254242515212,3.4051451242161384,3.620753336446719,1.8241127254933185,3.134524230699249,2.120664013406039,3.2884932425256213,2.073516311072012,67.95765394997137,53.56637444119197,59.925744482272414,53.77008064036552,19.703733369490436,52.24223662569187,7.679423619252216,29.346850300631854,45.21847459534167,20.365181252235125,28.10598630362349,102.66325467386513,3.6243885222133048,3.544558525482781,3.3185525086335965,2.117254242515212,3.405144890410793,3.620753165790026,1.8241055863359497,3.1345239115305605,2.120664013406039,3.288493348849457,2.073516311072012,67.95765394997137,53.56637814554127,59.92574425409315,53.77008409782868,19.703733369490436,52.24223438162397,7.679438046573582,29.346858178861368,45.21847459534167,20.365178333163865,28.10598630362349,0.0354688502688182,0.928852102109787,8.859261755207466,15.678273965053826,562.8965630531311,259.0,5957.0,2595.6453681499247,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,93,104.10998709298276,2.5340262142542342,3.4028612707109165,3.480513657607967,3.551855268305152,3.435327259905704,3.779852561881628,2.3896531849380707,3.0451316024466863,3.4884690613764864,3.1046557305031595,2.769727638285029,36.37866274879742,55.40172177704076,29.56927883071165,58.30475263790279,30.13376368314825,56.97925654473197,3.158012498923193,30.60013962144375,18.419582005705383,27.96451906470317,33.799248476804266,104.10998178828632,2.5340262142542342,3.4028612707109165,3.480512368953109,3.551855268305152,3.435327394249504,3.779854007166604,2.3896545240151705,3.045131166157278,3.4884690613764864,3.104655805861292,2.769727638285029,36.37866274879742,55.40171094865949,29.56925158979581,58.30478529906012,30.13376368314825,56.97927977380217,3.157994894217124,30.600125717583484,18.419582005705383,27.96452977155032,33.799248476804266,0.4209897954412563,0.7170220292801833,10.847876731848828,15.974722258412058,511.8265631198883,111.0,2553.0,261.14376054711784,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,158,107.09464179677212,3.158458727228564,3.74273866705454,3.5121345130976005,3.660016949904862,3.407949899159593,3.827676542894909,2.199453013580686,3.1263448718088567,3.829567262123191,3.157423592564616,3.679248961441604,41.21625960473413,52.30138222786858,34.96294341971317,53.81968226747839,72.26443286711151,56.94222536895546,4.408189596386442,29.129430871799944,48.659291408911365,22.08870637868977,20.997296887379523,107.09464120914092,3.158458727228564,3.74273866705454,3.5121346876281074,3.660016949904862,3.407949356085572,3.827677321140981,2.1994526076934555,3.1263466027051745,3.829567262123191,3.1574231173473564,3.679248961441604,41.21625960473413,52.30137598730473,34.96292240913178,53.81968119410936,72.26443286711151,56.942217594782896,4.408179319293089,29.1293997510755,48.659291408911365,22.088709841748702,20.997296887379523,0.2969464155244681,0.6605874025694756,10.557046758397371,14.306743252784976,418.32681608200073,163.0,3749.0,962.2023980815349,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,87,107.48232516808346,3.233653990270644,3.649785950223431,3.476836049682865,2.628669504166467,3.3599798387236235,3.818647144277298,2.348262164196381,3.066698065732385,3.792994211799,3.1156666310354346,3.032029563053809,24.13939678970986,51.61271916112738,29.83047751647672,48.841962670942,66.83640261730395,55.9745832034474,3.142186529211056,32.01065894260928,21.935743684250983,27.017063542283616,20.28924078227876,107.4823139878036,3.233653990270644,3.649785950223431,3.476844748494892,2.628669504166467,3.359976596601276,3.818648608769904,2.348268000944462,3.0666968261298715,3.792994211799,3.1156642026980186,3.032029563053809,24.13939678970986,51.61269063200103,29.83047738578014,48.841921985774,66.83640261730395,55.97447897439936,3.1422011139213337,32.01068059055234,21.935743684250983,27.01702774549895,20.28924078227876,0.374997693540735,0.6581309768968611,11.037406765969076,14.701160053971588,413.5152776241303,96.0,2208.0,268.9332978061995,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,160,109.29591375068452,2.033726762249012,2.914434318610117,3.5348393185669065,2.869569580630564,3.324324868605024,3.6191973969167393,2.2729451555138795,3.147931808232345,2.455959344891375,3.147664359676753,3.331130314099886,32.376075163531205,52.31132534821764,40.332720707653,54.72773645933061,36.779879084988885,57.77893268320932,8.205391643160922,32.055060735373665,26.5878345297654,21.33194630468291,21.269189589196905,109.29591375068452,2.033726762249012,2.914434318610117,3.5348393185669065,2.869569580630564,3.324324868605024,3.6191973969167393,2.2729451555138795,3.147931808232345,2.455959344891375,3.147664359676753,3.331130314099886,32.376075163531205,52.31132534821764,40.332720707653,54.72773645933061,36.779879084988885,57.77893268320932,8.205391643160922,32.055060735373665,26.5878345297654,21.33194630468291,21.269189589196905,0.381426937833671,0.4925670053507053,7.768979621395232,18.72072121069818,786.7704026699066,181.0,4163.0,209.7273583532283,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
