Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
3,31,10.188954990365124,2.206452013155284,3.5790588866936304,3.817191006186191,2.5872282967473588,2.5755506771726973,2.2600571442365553,1.847105481899891,3.3576710658797815,2.9386407955095937,2.5310933187444524,2.9831463185606766,13.468565432610227,55.1498398810113,19.53735736887766,48.30485989871348,55.48429340136054,16.65173787380868,5.636737954292762,39.30400552047108,37.7973740005523,16.74837106311305,33.75637420704291,10.188949195459323,2.206452013155284,3.5790559818688457,3.817191006186191,2.5872282967473588,2.5755506771726973,2.2600571442365553,1.8470888938327015,3.3576710658797815,2.9386487818983316,2.5310933187444524,2.9831463185606766,13.468565432610227,55.14966046236173,19.53735736887766,48.30485989871348,55.48429340136054,16.65173787380868,5.636782162682565,39.30400552047108,37.79763624440203,16.74837106311305,33.75637420704291,0.08001868456624495,2.6049920601694874,0.8039483335777721,0.8484518002213517,75.07230544090271,38.0,874.0,5.6629540811795005,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,35,8.083809252507296,2.344681016690657,3.8103737001141753,3.8651909260743267,3.3936363229798,2.1320003454441245,3.5109261052049323,1.9855582847045747,3.846049071092966,2.70686032249362,2.248541923944329,2.0397602676795907,11.703714147051755,48.72717702407772,26.00371939419799,65.90181666438774,45.02401918220745,45.933428614574794,7.631791027279223,19.34606602919689,38.73136848446519,35.501574501040075,48.93585119118862,8.08380919416225,2.344681016690657,3.8103717390156797,3.8651909260743267,3.3936363229798,2.1320003454441245,3.5109261052049323,1.985558303952506,3.846049071092966,2.706861479962182,2.248541923944329,2.0397602676795907,11.703714147051755,48.727171637684606,26.00371939419799,65.90181666438774,45.02401918220745,45.933428614574794,7.631759102306404,19.34606602919689,38.731405858056334,35.501574501040075,48.93585119118862,2.0389193523795104,1.1206371990087938,0.7367844321061423,1.0596898873225118,158.37808227539062,44.0,1012.0,11.027018385291766,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,34,8.083842639538062,3.7289588601091994,3.810399898870465,3.3415775815751743,2.9017478728266983,2.7642055040630344,2.821622699844371,1.985765688903963,2.6347678919165536,2.7068459667662115,2.8604945416425287,3.9476041558545036,54.05705794323023,48.735805026277156,37.73556560762214,32.3175055853375,61.84652225730683,67.19988875662308,7.627219750329137,38.19519343313418,38.72997103399781,23.832834552660643,44.92142799440909,8.08384229086754,3.7289588601091994,3.810397668549905,3.3415775815751743,2.9017478728266983,2.7642055040630344,2.821622699844371,1.9857576511264676,2.6347678919165536,2.7068489338507824,2.8604945416425287,3.9476041558545036,54.05705794323023,48.73583936250602,37.73556560762214,32.3175055853375,61.84652225730683,67.19988875662308,7.627229155328167,38.19519343313418,38.72995170957088,23.832834552660643,44.92142799440909,2.033193887126663,1.1237091468259917,0.7319855474941616,1.0604352206755663,83.02661848068237,42.0,966.0,13.070556887823075,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,57,9.223512690516419,3.055429292617493,3.707746728283217,3.144977034383212,3.466285050575022,3.0380232549281114,3.5417678210037757,2.1359010079657788,2.9314197571839617,2.8189156535198983,2.1364186968334082,2.7558483586561993,15.175695050386405,59.440630733136054,21.804835336499647,62.77081535183509,66.8725069221334,54.74686140508633,9.223591804736804,20.634000288546307,28.9372349033848,27.081021790432523,22.876398523492963,9.223511694787177,3.055429292617493,3.7077464931966797,3.144977034383212,3.466285050575022,3.0380232549281114,3.5417678210037757,2.1358955135236735,2.9314197571839617,2.81891652815498,2.1364186968334082,2.7558483586561993,15.175695050386405,59.440561205872534,21.804835336499647,62.77081535183509,66.8725069221334,54.74686140508633,9.223623435140595,20.634000288546307,28.937275751380838,27.081021790432523,22.876398523492963,0.10282749025388568,1.278489283056519,0.3499072027713862,1.3846917372621992,252.20116448402405,68.0,1564.0,6.479864996891376,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,32,16.374725314512652,2.0607993798575777,3.7943879195693575,3.7246925056760882,3.3853554350147084,3.381884284132337,2.3772736019106215,2.1212132397970174,3.1631548146885824,2.7268510932718155,2.4078124504662437,2.4954658035247097,27.04125044523928,58.93510633916791,39.70339628332004,13.700413496721177,43.05355563966558,23.77741070183894,7.951293294326271,25.40659835275453,29.798524359374436,35.77013573126174,44.53441501259161,16.37472380535957,2.0607993798575777,3.794387514839163,3.7246925056760882,3.3853554350147084,3.381884284132337,2.3772736019106215,2.1212169967326306,3.1631548146885824,2.726850467203419,2.4078124504662437,2.4954658035247097,27.04125044523928,58.935114028903804,39.70339628332004,13.700413496721177,43.05355563966558,23.77741070183894,7.951281625109669,25.40659835275453,29.798517128909925,35.77013573126174,44.53441501259161,0.3934354652124717,3.7783675104820436,1.6687884239308315,2.1565570565182512,120.93550491333008,36.0,828.0,13.787796429523048,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,45,15.004684256873809,3.327589290439578,3.6821099838128473,3.889189511981627,3.173110081003986,3.8068038305757668,2.274949408292475,1.9320660281226745,3.614782577419047,2.846606202933736,2.330708394233865,3.8550171607920674,32.604780883457934,51.95111133000664,57.18986904777936,67.41489592837766,50.53869345861459,58.81125821177693,5.718457439463324,24.447476211775914,38.792385005390464,29.983191645495324,48.7694016501935,15.004683827256475,3.327589290439578,3.682111134015301,3.889189511981627,3.173110081003986,3.8068038305757668,2.274949408292475,1.9320668791395679,3.614782577419047,2.8466059984717402,2.330708394233865,3.8550171607920674,32.604780883457934,51.95114615403179,57.18986904777936,67.41489592837766,50.53869345861459,58.81125821177693,5.718412493548799,24.447476211775914,38.79241503225366,29.983191645495324,48.7694016501935,0.44206560254708605,7.389670991897087,1.280277016524103,1.0561501362187897,170.29483580589294,52.0,1196.0,14.060822453148592,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,33,9.223498822425682,2.2890910802493196,3.7077349563283866,2.444098279599845,3.0387036487320658,3.5705920564432376,2.0446608559836124,2.135930471919513,3.7458447528002212,2.8189343669062135,3.076881185189087,3.7332165483330257,71.73738943798574,59.44087294683269,65.51750384937503,16.418321118322645,52.334781602164426,55.72860422992245,9.22293595064717,42.98653416076098,28.93810265305411,41.9583557094243,40.610501025883444,9.223498392840453,2.2890910802493196,3.7077351084434547,2.444098279599845,3.0387036487320658,3.5705920564432376,2.0446608559836124,2.1359285854227577,3.7458447528002212,2.8189342340995136,3.076881185189087,3.7332165483330257,71.73738943798574,59.44084924890543,65.51750384937503,16.418321118322645,52.334781602164426,55.72860422992245,9.222957749952103,42.98653416076098,28.938097486527155,41.9583557094243,40.610501025883444,0.10277721911318426,1.2778580585587775,0.34969560459924387,1.3846831266659807,72.29293751716614,38.0,874.0,10.030251354471979,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,57,12.66354897804487,2.6268483563184852,3.8441608171177526,3.752778304592076,3.7892133270076944,2.1700884227395556,2.0781095664657645,2.1445153418364575,3.756285006858826,2.6217939789274674,2.8422152500101037,3.9157790603010034,44.65574352324612,47.155440521758734,30.508516015394097,54.622560299302954,64.25066867332926,11.188738027372468,9.596765810742161,49.61013811172732,36.97951988449368,24.815539722254183,42.6247764958021,12.663548355030901,2.6268483563184852,3.844158453065925,3.752778304592076,3.7892133270076944,2.1700884227395556,2.0781095664657645,2.1445066907677894,3.756285006858826,2.6217950893515662,2.8422152500101037,3.9157790603010034,44.65574352324612,47.15531736210354,30.508516015394097,54.622560299302954,64.25066867332926,11.188738027372468,9.596733568357136,49.61013811172732,36.979699827711386,24.815539722254183,42.6247764958021,3.8361136267905023,0.5025371167490796,0.9076816871671209,1.1963670081417845,153.1809253692627,76.0,1748.0,6.3047339905853095,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,66,8.083740079782093,3.326882995636896,3.8104203173093625,2.22949194590675,3.8989785174141423,2.8998242669598806,3.1567792287742638,1.9856745676500756,2.474053960486055,2.706798803952695,3.1473589733445717,2.0057406540623175,50.11441938534706,48.73074612127956,44.258776646744614,67.58623645520036,33.222534400162495,69.05478480978697,7.629940160449731,15.553743499629471,38.7307488234323,39.18139211309234,49.906299765801826,8.083740038049104,3.326882995636896,3.810419816568376,2.22949194590675,3.8989785174141423,2.8998242669598806,3.1567792287742638,1.9856747806349462,2.474053960486055,2.706799316360775,3.1473589733445717,2.0057406540623175,50.11441938534706,48.73076018828594,44.258776646744614,67.58623645520036,33.222534400162495,69.05478480978697,7.6299263952936,15.553743499629471,38.730749893669646,39.18139211309234,49.906299765801826,2.037355350523297,1.1213304307374714,0.7351424320843936,1.0595040066972101,242.24614715576172,78.0,1794.0,3.9486100008881784,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,55,8.083745378662663,2.762032248124428,3.810394360128926,3.022282956594256,3.081903609924377,3.9188686421235044,3.607921782997293,1.9857182054636167,3.4187745024625897,2.7068284959674345,3.8950978827901994,2.4428654686469766,27.35968127948378,48.73032497509834,37.86022386314613,17.08621966123944,51.196139439774676,62.19261042929298,7.629771761307614,41.81739833765197,38.731081188327884,44.60480190596872,30.00690712498049,8.083745355239863,2.762032248124428,3.8103942291028488,3.022282956594256,3.081903609924377,3.9188686421235044,3.607921782997293,1.9857183729981995,3.4187745024625897,2.706828868941011,3.8950978827901994,2.4428654686469766,27.35968127948378,48.73033265035083,37.86022386314613,17.08621966123944,51.196139439774676,62.19261042929298,7.629764869747143,41.81739833765197,38.731079311068314,44.60480190596872,30.00690712498049,2.0367478585703687,1.121792169834753,0.7343028922763921,1.0599636412664801,223.61044478416443,66.0,1518.0,7.183693045563549,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
