Molecule,Property,Model,MAPD
R14,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.8836904027427178
R14,sim_liq_density,Opt R14,0.2440097656671504
R14,sim_liq_density,Literature,0.6355903394933683
R14,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,7.400369303372919
R14,sim_vap_density,Opt R14,6.235838073190885
R14,sim_vap_density,Literature,1.4126706755990055
R14,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,8.656356572378286
R14,sim_Pvap,Opt R14,6.344994723014284
R14,sim_Pvap,Literature,6.220810310766428
R14,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.1055781691158206
R14,sim_Hvap,Opt R14,3.838740759634137
R14,sim_Hvap,Literature,0.7181114469748391
R32,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.8603157039492624
R32,sim_liq_density,Opt R32,0.31727799712977467
R32,sim_liq_density,Literature,1.072463664952881
R32,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,23.070647549253493
R32,sim_vap_density,Opt R32,2.1183262818459068
R32,sim_vap_density,Literature,2.848932265723945
R32,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,21.495212323903285
R32,sim_Pvap,Opt R32,2.2179474165006425
R32,sim_Pvap,Literature,1.8467267017414486
R32,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.426447672150748
R32,sim_Hvap,Opt R32,1.0422982230423743
R32,sim_Hvap,Literature,0.08743010799268704
R50,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,8.688214619042348
R50,sim_liq_density,Opt R50,1.1668273443894759
R50,sim_liq_density,Literature,3.3426757308325796
R50,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,22.30355606838577
R50,sim_vap_density,Opt R50,0.4141655931643485
R50,sim_vap_density,Literature,0.9582916889554609
R50,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,16.053335881654856
R50,sim_Pvap,Opt R50,1.9975019275697565
R50,sim_Pvap,Literature,2.1696842310022437
R50,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,8.605573628122947
R50,sim_Hvap,Opt R50,3.3513237081553564
R50,sim_Hvap,Literature,2.742886376802255
R170,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.900008676593621
R170,sim_liq_density,Opt R170,0.6320529054220579
R170,sim_liq_density,Literature,1.9084939564226362
R170,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.195520767917634
R170,sim_vap_density,Opt R170,1.1417052494560829
R170,sim_vap_density,Literature,3.397694711432299
R170,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.615581231054843
R170,sim_Pvap,Opt R170,2.109086892612315
R170,sim_Pvap,Literature,2.8542485023458557
R170,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,4.896314028484576
R170,sim_Hvap,Opt R170,3.9733884534573867
R170,sim_Hvap,Literature,2.07363351255792
R125,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.544343846429541
R125,sim_liq_density,Opt R125,0.6372926409859927
R125,sim_liq_density,Literature,1.2203901620478557
R125,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.1069314310119576
R125,sim_vap_density,Opt R125,2.0512598597263203
R125,sim_vap_density,Literature,9.919665087368497
R125,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.4356556665240494
R125,sim_Pvap,Opt R125,1.5436208048113607
R125,sim_Pvap,Literature,8.740914904997096
R125,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.8390504440678748
R125,sim_Hvap,Opt R125,1.0426149640448876
R125,sim_Hvap,Literature,0.6067346476334883
R134a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,0.7805701838909901
R134a,sim_liq_density,Opt R134a,0.35397306358541564
R134a,sim_liq_density,Literature,0.3589495793113602
R134a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,3.296248243140832
R134a,sim_vap_density,Opt R134a,2.6823437134267647
R134a,sim_vap_density,Literature,1.7737074003102045
R134a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,5.245763974804
R134a,sim_Pvap,Opt R134a,3.204859335125755
R134a,sim_Pvap,Literature,2.5419391600058736
R134a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,1.6384214589643307
R134a,sim_Hvap,Opt R134a,2.963235908746349
R134a,sim_Hvap,Literature,0.4107724966456743
R143a,sim_liq_density,Opt R14-R32-R50-R170-R125-R134a-R143a,1.1868730515543737
R143a,sim_liq_density,Opt R143a,2.133255150379908
R143a,sim_liq_density,Literature,1.0707008821465358
R143a,sim_vap_density,Opt R14-R32-R50-R170-R125-R134a-R143a,2.3370653461748843
R143a,sim_vap_density,Opt R143a,1.9248696305348245
R143a,sim_vap_density,Literature,1.5567245844728022
R143a,sim_Pvap,Opt R14-R32-R50-R170-R125-R134a-R143a,2.7745029481313734
R143a,sim_Pvap,Opt R143a,3.1475904488309685
R143a,sim_Pvap,Literature,3.1085681065961266
R143a,sim_Hvap,Opt R14-R32-R50-R170-R125-R134a-R143a,3.591631824825757
R143a,sim_Hvap,Opt R143a,3.7234641689647727
R143a,sim_Hvap,Literature,2.25055868872487
