Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
4,45,148.59751322296967,2.9831463185606766,3.685896648708348,3.1482352109840264,2.29345714981162,3.380764931575233,2.8202420576333767,2.2046688576556512,2.892435283756341,3.38880031545549,36.92165251924868,39.83362316531564,44.833266384508256,53.146651939286286,55.22712139003634,5.778061657097265,35.52942641756976,31.670338106550652,19.81161464511831,148.5975131383537,2.9831463185606766,3.685887063819994,3.1482352109840264,2.29345714981162,3.3807684109137677,2.820243673435864,2.2046688576556512,2.892434327638695,3.38880031545549,36.92165251924868,39.833637089199485,44.833266384508256,53.146651939286286,55.227142724202686,5.778123233211912,35.52942641756976,31.67029092189848,19.81161464511831,5.725201353906768,7.009195744047457,14.093107896267776,17.468241314620016,87.49602675437927,48.0,912.0,547.534807709388,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,67,141.96850606923962,2.6903441023104295,3.7431467130774254,3.1850237375315933,2.6245396754038337,3.144274427684282,2.8496566280785984,2.514236587564392,2.8933133653285674,2.3859254640382255,42.4729710941276,54.79007887458144,23.53263849657145,26.122181294520004,61.07532881365523,6.617008429584035,36.583977350433265,26.5609816539567,18.56885407990291,141.9685040888559,2.6903441023104295,3.743146830634478,3.1850237375315933,2.6245396754038337,3.1442742624594002,2.8496569106082688,2.514236587564392,2.893313142582162,2.3859254640382255,42.4729710941276,54.79007654839164,23.53263849657145,26.122181294520004,61.075326622288024,6.617011046688032,36.583977350433265,26.560981013776363,18.56885407990291,6.980426361274822,5.548446572809908,8.55582419734379,18.67047468788698,233.16268968582153,73.0,1387.0,1478.9762106270684,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,102,108.51623838849876,3.144977034383212,3.463552515833494,3.0380232549281114,3.5417678210037757,3.4664180916273635,2.0420059731800397,2.6853778159065635,3.2098513045924273,2.7558483586561993,15.175695050386405,54.32679492754657,21.804835336499647,62.77081535183509,52.64313917072808,7.011156940704401,34.93230444608815,24.036456276910243,31.340800796715722,108.51623827520953,3.144977034383212,3.463552594618171,3.0380232549281114,3.5417678210037757,3.4664179820481245,2.042005872642221,2.6853778159065635,3.20985134951296,2.7558483586561993,15.175695050386405,54.32679464480388,21.804835336499647,62.77081535183509,52.64313752082239,7.011159043794622,34.93230444608815,24.036457860143845,31.340800796715722,0.05246739485419837,2.2705578361258074,9.689694458288974,20.518165694726072,342.6630344390869,108.0,2052.0,1245.487947419842,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,74,113.59525426074353,3.1056439573715315,3.4587963792770533,2.248346630239822,2.558367358022279,3.4965377754809297,2.0358041239375666,3.12206043851142,3.21414472365346,3.6012653453612318,25.143327799666334,50.169231882301666,35.210941864171176,66.13022054636288,51.42188584607909,6.198760780118773,19.775932898123976,25.64140824158591,19.24702095092581,113.59525328973305,3.1056439573715315,3.4588018956567774,2.248346630239822,2.558367358022279,3.4965399377971895,2.035801881627426,3.12206043851142,3.214144214403568,3.6012653453612318,25.143327799666334,50.16924650554273,35.210941864171176,66.13022054636288,51.42197335999355,6.1987084248574895,19.775932898123976,25.641315575405162,19.24702095092581,0.3710071335804907,1.853687489291253,10.829297455756166,18.48156517128423,284.3472406864166,91.0,1729.0,457.2548183675282,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,95,96.04698650009003,3.2594350140431283,3.5774539732191406,3.5055111074776275,2.13307296270823,3.733925115165267,2.1128815597791197,2.3868685652466555,3.176498232790781,3.049340618247467,70.11251807595781,36.8941490098654,14.287470894461547,57.77928761376353,61.54824286890394,7.22552161997159,47.619022421889305,19.06920504094287,23.20267301424972,96.04695109274934,3.2594350140431283,3.577447827381791,3.5055111074776275,2.13307296270823,3.733925650128533,2.1128722038749803,2.3868685652466555,3.176501749349848,3.049340618247467,70.11251807595781,36.89419893924522,14.287470894461547,57.77928761376353,61.54831808935787,7.225501548064617,47.619022421889305,19.06923162971544,23.20267301424972,0.11127857781352077,1.257360485115977,7.2181769807110285,15.836426027597398,321.31513690948486,104.0,1976.0,490.73928412825296,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,185,110.61540915966293,2.278552694501517,3.4936321277238003,2.795353673971067,2.330708394233865,3.4315903994308465,2.1562609949724205,3.501624206272311,3.1854966460023166,3.7666121824116194,50.53869345861459,47.61463235435739,32.67839222855977,27.5453129647267,56.187741753680086,7.358870389886149,48.7694016501935,25.211022658182717,36.759350207319265,110.61540398579703,2.278552694501517,3.4936329053278303,2.795353673971067,2.330708394233865,3.431591171595043,2.1562609736394087,3.501624206272311,3.185497039218154,3.7666121824116194,50.53869345861459,47.6146341045177,32.67839222855977,27.5453129647267,56.1877461088964,7.358854280753925,48.7694016501935,25.211018396979057,36.759350207319265,0.4321386529293735,0.8830878347084765,9.025515296708427,20.968926359612205,313.7992663383484,189.0,3591.0,474.6463451461053,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,116,110.21035158686473,3.0317140339370594,3.4837180622795856,2.305343288186326,3.2436124634808303,3.440831452443906,2.122258033767914,2.2890910802493196,3.195286568948023,2.444098279599845,43.75786858379216,50.11829869271415,11.451477819467403,31.08355988220213,56.38417776050306,6.490466813376039,33.845420740809026,24.966204084097118,48.24320969737693,110.21034940304506,3.0317140339370594,3.4837175699576024,2.305343288186326,3.2436124634808303,3.440831881659504,2.1222584012345975,2.2890910802493196,3.195286619210846,2.444098279599845,43.75786858379216,50.118295906468106,11.451477819467403,31.08355988220213,56.384181324859604,6.490465329002013,33.845420740809026,24.966201489790116,48.24320969737693,0.22780577197884277,1.2451919856165783,9.623770569002534,21.26884079950016,418.5920560359955,131.0,2489.0,401.2664712674305,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,35,132.68601217008768,3.373001855363167,3.3565562201364574,2.0365765546883834,3.500288629889935,3.854343815609629,1.884163953446992,2.56088798412881,3.2256426639520805,2.206452013155284,39.11307920143384,63.13069388197418,29.084919644289172,28.705397008112673,35.32689328565487,6.008535517586407,38.75924365289619,22.057165790733677,24.29413307802792,132.68588130924815,3.373001855363167,3.3565581125652777,2.0365765546883834,3.500288629889935,3.854341975803322,1.88416880588266,2.56088798412881,3.2256409847177854,2.206452013155284,39.11307920143384,63.130768929853886,29.084919644289172,28.705397008112673,35.32678465374696,6.0085533696911595,38.75924365289619,22.057206783604524,24.29413307802792,0.17892865895039978,5.288743405536314,8.424673952336587,15.693525475685629,137.73442244529724,45.0,855.0,12357.936157740474,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,27,155.91117772843936,2.2807738771904673,3.567598295656146,3.6014891373510727,3.936523151438794,3.38090332282061,2.5101806013057626,3.752778304592076,3.0681168729366814,2.1700884227395556,12.538560910137356,39.32161307948623,67.07926272291186,16.392544199148258,50.1435333468641,5.965111688305176,33.660784974055595,33.42644278290453,26.043047085212205,155.9110869114309,2.2807738771904673,3.567598395248532,3.6014891373510727,3.936523151438794,3.3808957733127465,2.5101767306686473,3.752778304592076,3.0681173289641848,2.1700884227395556,12.538560910137356,39.32164589263565,67.07926272291186,16.392544199148258,50.143547618401264,5.965155649734168,33.660784974055595,33.426593447925384,26.043047085212205,8.21851037990993,7.046382484328945,20.141140483996082,16.862323692981974,67.59072542190552,37.0,703.0,3256.6083666400214,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,95,134.34072010708257,3.239911436762759,3.7891985360537195,2.3135827892921683,2.037152404354819,3.1287983877338426,2.795443848200523,3.2126589233066607,2.900583514554531,2.634724818644321,74.26005003680919,52.71923438526788,34.709176220530786,45.8116342426633,61.91148707820093,7.209259399023979,24.27218451819833,25.50485986034032,27.95294692699372,134.34070901532814,3.239911436762759,3.789196445343485,2.3135827892921683,2.037152404354819,3.128801729081323,2.795448539056501,3.2126589233066607,2.9005794734407337,2.634724818644321,74.26005003680919,52.719233292087424,34.709176220530786,45.8116342426633,61.911490260189936,7.209199625431089,24.27218451819833,25.504887908625516,27.95294692699372,5.725947323851164,6.442627789747023,9.325148866698186,18.48628355082474,351.2652471065521,113.0,2147.0,684.2298605559996,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
