Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
113,154,29517.85675191953,3.490729589697154,3.391127488109817,2.5772889327616326,2.808418499873145,2.9799192305564848,2.9284739197551968,45.744860279861314,52.95408077055804,10.000000000000002,41.51297424362936,26.830492517525634,25.84310888535694,29517.853387749143,3.4907300592374293,3.3911262120247154,2.5772968824108453,2.8083948275924016,2.979917951379321,2.9284758366921926,45.744928602225926,52.95395640176061,10.000000000000002,41.51291106741531,26.83075244417105,25.84316852619473,0.8782651585212009,73.14901040274991,418.7922285599538,4.512548961895778,32.94466362160657,733.2173578045704,616.9205176857234,26.11322505299255,5.574988813948718,1695.8347777180395,1309.4219060831326,27.34662279611949,19.09072908543008,1412.6658989838556,787.2272620671604,152.75025593346436,0.2978711161835504,3.8470713103646794,58.51781207617793,11.661296380664693,8.537955600637769,1129.960217803016,457.2798874231647,11.364957496964054,35.386180043106286,859.1697268574393,233.01822035228653,137.84661993989155,1270.6268792152405,164.0,2132.0,1227118.6602516123,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
198,130,29518.088500304377,3.4935319638060145,3.3885939265051483,2.577906352136084,2.812912414565687,2.977294218429791,2.928278850429089,45.66738526201823,53.10887453773572,10.000000000000002,41.572832760305324,26.8935286948403,25.822393967019856,29518.088352644816,3.4935316422283824,3.388591759583859,2.5779036569826825,2.812910715193251,2.977283954632386,2.92827808806734,45.66734872794427,53.10887959474178,10.000000000000002,41.57251189304508,26.89325901436257,25.82243279340674,0.882433421774796,75.37714944321154,426.9034883690969,4.559088125737768,35.75836698788297,742.0255278137901,603.7561907054851,26.77974252989924,5.233126379547338,1678.217840895576,1297.5662376511002,27.34250251082006,18.92607346314788,1410.3596525720309,785.9105371968526,152.4078663933873,0.3838943760924414,6.126658661227667,55.49682371135525,12.034840121832469,8.254834646974865,1112.4130018315857,447.9622354076789,11.089351063258215,35.245382895500526,843.6097617959931,227.4690564100549,135.79718148089344,1830.0480587482448,134.0,1742.0,1226568.7069645266,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
130,105,29518.164616451184,3.4900009902416733,3.38630326956903,2.5765351360505213,2.81012762612865,2.974345097556857,2.928555567355367,45.77986636526381,53.23238552453857,10.000000000000002,41.586711814327295,26.730445941060864,25.849305629470305,29518.163960272766,3.490002750405632,3.38630241240785,2.576539299622358,2.8101128384069547,2.9743373759362752,2.928554710809707,45.77983627210307,53.23241965694564,10.000000000000002,41.58665931241351,26.7304342011387,25.84928293010068,0.8997448972990957,80.1919440695459,413.9818401323452,4.622835666017062,32.63347660334236,706.8913035269443,591.8090979595921,24.602462147025317,5.797164444123998,1691.206110868107,1305.746717820636,26.92459475183066,18.065577667873452,1397.7272122121449,783.0533552804748,150.5108888768404,0.3419780775898184,4.261425543964492,62.77921785354903,10.273986451248176,8.592984801776286,1129.6009698862274,458.4018589603587,11.061957459442004,36.01029994629329,864.6243290765857,234.75837773872576,137.92123245093032,1601.2809734344482,115.0,1495.0,1228125.1071449933,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,113,29518.712694005077,3.490159016654728,3.3845187766446627,2.5775684345983194,2.8092409924480104,2.974546970588446,2.9285663960470183,45.79486017898661,53.34679509269935,10.000000000000002,41.5355216274376,26.844286748118925,25.841613873655724,29518.71257976172,3.490153893256362,3.3845315503687705,2.577562443129522,2.80922993447192,2.974546372409276,2.928569225030808,45.79507078154495,53.34636371825261,10.000000000000002,41.5353987340805,26.84436977960169,25.84144730049316,0.8978282153429631,79.91861256766292,415.4879846056217,4.619438480396906,32.91411317208473,715.1238431378763,604.5365220750604,25.250003092717904,5.658164484578399,1663.3202767190842,1284.734661993265,26.329251810065067,18.189831555579527,1400.364274918331,783.1217824222057,150.90441049543332,0.4032853195826499,6.507301165672943,57.59483751692986,11.256117980860472,8.541576009810726,1116.2775631898849,452.1323939760124,10.74871428583667,35.76673998563432,855.7072754631657,232.00702286058265,136.91339542687635,965.2617247104644,122.0,1586.0,1191419.6087745926,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
129,153,29518.77306804405,3.4894482207347504,3.3909509584891504,2.5768721349316555,2.8117769232679035,2.985484500248567,2.928559671083703,45.80941171957244,52.94294046165161,10.000000000000002,41.564170542548254,26.93914977831041,25.847240347111384,29518.76778621367,3.489440628672809,3.390963988869844,2.5768345451705468,2.8117743187252837,2.9854756385840053,2.9285488084525024,45.80961050068164,52.942991727833366,10.000000000000002,41.56418665247968,26.9391226991392,25.84723936458183,0.8977393686502578,78.10003077238277,414.0764968714718,4.576829894924314,33.73112766926607,710.7620960985273,599.1893938363795,25.03372185642284,5.82873225179319,1677.2270416560948,1294.9202228157492,26.496909620357894,19.197602284332188,1427.4167722791808,795.5771394712901,154.87225813075742,0.2294825174061756,3.494875653284362,59.20144970757102,12.014408806177515,8.325500438690788,1121.6060237013146,451.8587615488898,11.418923759706216,35.28297728938264,851.8267448354807,230.22193604884475,136.94243221429377,2399.5355780124664,173.0,2249.0,1210078.62122283,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
107,95,29519.067636761927,3.49291612318377,3.39193139181874,2.5789336020817224,2.8057779712021045,2.9735767325974543,2.9283709393241706,45.66679764238518,52.9229480569844,10.000000000000002,41.56678142730704,26.746083334207185,25.83451394235984,29519.06719283749,3.492916710916234,3.3919298985181383,2.578933870927779,2.805778360696034,2.9735752774755912,2.9283706646898806,45.66679582642195,52.92291820621942,10.000000000000002,41.566754023195365,26.74621852318456,25.834513748088234,0.8817942837477424,76.68997210596491,423.03179520630863,4.592479620601982,32.15339445394345,734.8721298272291,606.3516794312602,25.75781598568052,5.110903845446275,1689.172488630596,1305.1724501707874,27.839785702646516,19.833362790478525,1421.9219838292286,788.3965127346908,154.14791709492167,0.4234713556893577,4.954335657743037,56.51726624167756,11.623860715358674,8.609601773541101,1138.5197114860432,463.1724195575029,11.40202678136489,34.87125732469777,850.9443402364587,230.6611524604367,137.23458858515653,812.6340308189392,101.0,1313.0,1229267.0687565322,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
35,123,29519.22913384642,3.48956827182639,3.387636495524846,2.5747447707615905,2.8087516265755728,2.984190569920885,2.928571216519126,45.81559986440635,53.126565880007895,10.000000000000002,41.4798503410912,26.946331010659144,25.840789896072238,29519.228413936093,3.489568974718267,3.387635775970699,2.574746574373184,2.8087400937640368,2.984193444253392,2.9285711238172665,45.81563084086133,53.12656141855464,10.000000000000002,41.47986876672176,26.94650956836331,25.84079281857477,0.8850116374602454,74.60034236478319,416.35502476237343,4.5249119779030895,31.826016129230776,711.8589896728693,606.9750241999291,25.35351984175321,6.2064875567426,1685.505590405622,1301.6429935110712,26.28138006704137,17.79384566623097,1401.6012727433033,787.9187415825023,151.01813257672697,0.2333438452648087,3.645367870658001,60.64160257323784,11.468673848295117,8.652356962380845,1115.1009514077052,450.8864734618567,10.85346902455924,36.068892712462,855.4645420186538,230.64993348173195,136.61304314797317,1071.4358730316162,131.0,1703.0,1228242.686626627,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
109,179,29519.266370792808,3.4910796093532093,3.3953672048670294,2.5759213602320314,2.809412837202733,2.9734628804000414,2.9284799123170355,45.75099998364858,52.67985905872912,10.000000000000002,41.57500226208538,26.73000426976306,25.840174308253825,29519.266319321992,3.49107937986168,3.39536700941213,2.5759214442853224,2.809412519571723,2.9734630122360968,2.928480277122891,45.75100482180383,52.67985824715311,10.000000000000002,41.57500619704338,26.73000185696653,25.840174404655507,0.8979012477930648,79.93137223282697,417.6046845379311,4.622791846767414,32.24860451364059,708.6618883111744,589.3968173671284,24.781093625899743,5.794786000789018,1690.6169259058224,1306.029169047003,26.9176667001852,19.48368892122964,1428.9144599910912,796.3120980913932,155.10279859943566,0.4360732896823712,4.325156102889263,55.81714820099109,11.85072623569106,8.487271987755049,1135.7484343883627,459.6161412735347,11.758923107355704,35.14077573742433,851.6887656911425,229.73294510900857,137.0824459379689,2613.260517835617,194.0,2522.0,1256914.4723269262,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
63,198,29519.6123274806,3.489972788396213,3.3841835190418887,2.5779756020851803,2.810337101053157,2.9745472182177406,2.928486630954149,45.78609016631404,53.34805781060738,10.000000000000002,41.56098788611072,26.910525333674485,25.84561571348044,29519.589051956304,3.490033652777998,3.384131068278609,2.5780900503592226,2.8100842388597256,2.974590775060528,2.928516722330845,45.78495655563395,53.35030035745353,10.000000000000002,41.55963514421015,26.91028768492276,25.84480474283162,0.8999597215619847,78.0537221698911,415.5446893129144,4.572147956919209,33.57248770710039,718.0779542448515,604.5822975312765,25.28297306707066,5.580616568987401,1674.0500425317905,1292.5673318370712,26.724278020450456,18.647030955949223,1423.540142856952,794.2294811158494,154.26251688178382,0.4439001911696476,8.107265851737825,54.76860425327999,11.866869692828963,8.42138086529543,1108.278595696593,448.0362678924009,10.684069632501217,35.50392981593444,845.3803866965555,228.33826315538093,135.74412706397322,2707.5828623771667,207.0,2691.0,1220397.748687404,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
151,99,29519.880163360824,3.488684809310862,3.3846953269230906,2.578252759452479,2.810998340470161,2.980456249493235,2.928630875563621,45.824755176678586,53.32343031022499,10.000000000000002,41.607978333427376,26.91308417099824,25.854523468619558,29519.878719386965,3.48868573813482,3.3846962268042358,2.578253248921494,2.8109931225897764,2.98045041444043,2.928630797934802,45.82475137122954,53.32344121974698,10.000000000000002,41.60800536453581,26.912918714859813,25.85450365996033,0.8923542322542846,76.82375247984687,411.7638008449465,4.559346411730189,33.37283489143121,703.5430869109473,594.6061639044,24.300426307190065,5.663441928789732,1674.769604801538,1292.368337359182,26.632052236868358,18.774714270346,1422.9332153644514,793.1828667547794,154.1896390769939,0.2763159835161711,4.914678480002743,59.739089300302325,11.30593298971963,8.393420130473668,1117.7637534590256,452.2713614116501,10.92339317775156,35.4891754411638,852.2537641345629,231.0694624767017,136.7295762713404,855.8536057472229,106.0,1378.0,1218309.2940765852,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
