Molecule,Property,Model,MAPD
R14,sim_liq_density,Opt R14-R32-R50-R170-R143a,0.9913405278020248
R14,sim_liq_density,Opt R14,0.3894644041202311
R14,sim_liq_density,Literature,0.6355903394933683
R14,sim_vap_density,Opt R14-R32-R50-R170-R143a,10.307026367274482
R14,sim_vap_density,Opt R14,5.512237651715535
R14,sim_vap_density,Literature,1.4126706755990055
R14,sim_Pvap,Opt R14-R32-R50-R170-R143a,10.830017952775487
R14,sim_Pvap,Opt R14,5.516137559647505
R14,sim_Pvap,Literature,6.220810310766428
R14,sim_Hvap,Opt R14-R32-R50-R170-R143a,1.2488882399814725
R14,sim_Hvap,Opt R14,2.7286034287560423
R14,sim_Hvap,Literature,0.7181114469748391
R32,sim_liq_density,Opt R14-R32-R50-R170-R143a,3.21038670697964
R32,sim_liq_density,Opt R32,0.8749586334162358
R32,sim_liq_density,Literature,1.072463664952881
R32,sim_vap_density,Opt R14-R32-R50-R170-R143a,21.95332919552916
R32,sim_vap_density,Opt R32,1.0888547857778448
R32,sim_vap_density,Literature,2.848932265723945
R32,sim_Pvap,Opt R14-R32-R50-R170-R143a,21.371097934458483
R32,sim_Pvap,Opt R32,1.6181503732823657
R32,sim_Pvap,Literature,1.8467267017414486
R32,sim_Hvap,Opt R14-R32-R50-R170-R143a,2.1880517598472817
R32,sim_Hvap,Opt R32,0.829199808958744
R32,sim_Hvap,Literature,0.08743010799268704
R50,sim_liq_density,Opt R14-R32-R50-R170-R143a,1.7157504637513414
R50,sim_liq_density,Opt R50,1.2074265211461175
R50,sim_liq_density,Literature,3.3426757308325796
R50,sim_vap_density,Opt R14-R32-R50-R170-R143a,42.014707829265106
R50,sim_vap_density,Opt R50,2.5914934897614956
R50,sim_vap_density,Literature,0.9582916889554609
R50,sim_Pvap,Opt R14-R32-R50-R170-R143a,36.48122834780213
R50,sim_Pvap,Opt R50,3.159019219416317
R50,sim_Pvap,Literature,2.1696842310022437
R50,sim_Hvap,Opt R14-R32-R50-R170-R143a,4.980397526538803
R50,sim_Hvap,Opt R50,6.041606158418789
R50,sim_Hvap,Literature,2.742886376802255
R170,sim_liq_density,Opt R14-R32-R50-R170-R143a,3.030611879250258
R170,sim_liq_density,Opt R170,1.048885241944805
R170,sim_liq_density,Literature,1.9084939564226362
R170,sim_vap_density,Opt R14-R32-R50-R170-R143a,1.037401601983191
R170,sim_vap_density,Opt R170,1.3210391716190295
R170,sim_vap_density,Literature,3.397694711432299
R170,sim_Pvap,Opt R14-R32-R50-R170-R143a,2.372694752260598
R170,sim_Pvap,Opt R170,1.9466426110658048
R170,sim_Pvap,Literature,2.8542485023458557
R170,sim_Hvap,Opt R14-R32-R50-R170-R143a,6.253479171082393
R170,sim_Hvap,Opt R170,3.763121852609493
R170,sim_Hvap,Literature,2.07363351255792
R143a,sim_liq_density,Opt R14-R32-R50-R170-R143a,1.2406487284721328
R143a,sim_liq_density,Opt R143a,1.9870425627119603
R143a,sim_liq_density,Literature,1.0707008821465358
R143a,sim_vap_density,Opt R14-R32-R50-R170-R143a,5.67454267147877
R143a,sim_vap_density,Opt R143a,1.1362893475950129
R143a,sim_vap_density,Literature,1.5567245844728022
R143a,sim_Pvap,Opt R14-R32-R50-R170-R143a,3.8226353600443836
R143a,sim_Pvap,Opt R143a,2.0256240355779385
R143a,sim_Pvap,Literature,3.1085681065961266
R143a,sim_Hvap,Opt R14-R32-R50-R170-R143a,4.610915567328393
R143a,sim_Hvap,Opt R143a,4.402200896604624
R143a,sim_Hvap,Literature,2.25055868872487
