Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
4,29,967.6915810340402,3.2151317576289173,3.578558656902977,2.206452013155284,2.1718402892638577,3.817191006186191,2.5872282967473588,2.9296141487304617,34.114494634648345,11.258852261569311,54.12430964109292,3.6930249280004728,24.29413307802792,32.20506057481184,34.636424614001676,967.6913331232143,3.2151310620704714,3.578558656902977,2.206452013155284,2.1718402892638577,3.817191006186191,2.5872282967473588,2.929614028128842,34.11424246917579,11.258852261569311,54.12430964109292,3.6930249280004728,24.29413307802792,32.20506057481184,34.63652539407599,0.3109741072591239,46.07161860281488,65.1727701688672,11.571402839293647,44.48614811897278,36.0,540.0,81355.47668531841,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,40,986.3201285033871,2.999255046561917,2.29345714981162,3.178611073806568,2.549637540031396,2.2046688576556512,2.8281119756391364,2.933194590231004,35.982561751753025,13.246974831495667,44.833266384508256,7.310357161758311,33.0211189220408,48.06081645967847,37.890325608058596,986.3171351265089,2.9992268361502887,2.29345714981162,3.178611073806568,2.549637540031396,2.2046688576556512,2.8281119756391364,2.933185711640134,35.98245296140939,13.246974831495667,44.833266384508256,7.310357161758311,33.0211189220408,48.06081645967847,37.89031128518858,0.22169576411466008,62.4514389503144,74.15984196148165,20.851641095201323,92.5615804195404,75.0,1125.0,1939.916795452527,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,46,1130.5749925994166,3.0036606676410833,3.684061784719211,2.248346630239822,1.918775518516709,3.1715185429165755,3.939191496639349,2.8974903905320093,20.408161749071812,62.04112372424007,25.143327799666334,8.456841564950235,28.575122542246014,45.22396490958001,42.94157103894078,1130.491727830004,3.009254752834641,3.684061784719211,2.248346630239822,1.918775518516709,3.1715185429165755,3.939191496639349,2.8977854296356003,20.306590100714974,62.04112372424007,25.143327799666334,8.456841564950235,28.575122542246014,45.22396490958001,42.91942513482833,0.48490404678185806,40.3885424979379,27.742830418991367,1.7194388888186016,66.5768632888794,54.0,810.0,57250.9382360778,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,51,1004.4099564325842,2.3054660077186604,3.3409350203568042,2.834609604734254,2.3380347426686274,2.2807738771904673,2.3962029781697574,2.91903462450896,58.01007026156107,30.372571580350794,55.00097001850543,9.011113218368308,46.31123322263466,17.97654739794223,45.42005292887806,1004.4094872068071,2.3054660553323765,3.3409350203568042,2.834609604734254,2.3380347426686274,2.2807738771904673,2.3962029781697574,2.9190342993890397,58.00995097278202,30.372571580350794,55.00097001850543,9.011113218368308,46.31123322263466,17.97654739794223,45.420058416947775,0.29031553161005513,10.145651096307292,12.30310245240905,12.8504597829526,116.804030418396,58.0,870.0,20635.48379074518,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,30,1203.0357852587038,2.7064481226536774,3.4876517081501857,2.3908589622186374,2.3720383909098866,3.940039978176624,3.6936576029800703,2.9356006830294574,45.362229003689386,50.297121694789695,63.883758470761634,3.2543311571686746,15.650167076209334,17.45077503017278,40.716899014747604,1203.0354247991045,2.7064523027752663,3.4876517081501857,2.3908589622186374,2.3720383909098866,3.940039978176624,3.6936576029800703,2.935600685984798,45.362400127691735,50.297121694789695,63.883758470761634,3.2543311571686746,15.650167076209334,17.45077503017278,40.71675901352775,0.13721127100580854,31.74552845055543,18.558661952735438,21.9406907047925,46.76285457611084,39.0,585.0,8859.253006483701,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,122,990.6365253101844,2.8944641199426857,3.756285006858826,2.1966936676661,2.131661437507578,3.9157790603010034,3.066330569946034,2.9371453093567528,40.4343840418604,54.622560299302954,64.25066867332926,2.1463062187535344,41.25505102307387,49.61013811172732,38.452073086379876,990.6365021637838,2.894464837054729,3.756285006858826,2.1966936676661,2.131661437507578,3.9157790603010034,3.066330569946034,2.9371452987972986,40.434372597266055,54.622560299302954,64.25066867332926,2.1463062187535344,41.25505102307387,49.61013811172732,38.45206161237942,0.12310856292263184,45.423933774727004,42.49053410147733,19.334648438054373,162.78380942344666,131.0,1965.0,19666.36383337774,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,78,661.5452228409085,3.433271424285917,3.3936363229798,2.1320003454441245,2.6331945789036992,3.5077523769224928,3.846049071092966,2.9202925438856786,30.567616530911998,11.292208699586714,11.703714147051755,2.226451904166357,23.617387366106605,45.100978203901086,32.38449650118564,661.5450129515178,3.433314685539165,3.3936363229798,2.1320003454441245,2.6331945789036992,3.5077523769224928,3.846049071092966,2.9203008584070167,30.566831547376665,11.292208699586714,11.703714147051755,2.226451904166357,23.617387366106605,45.100978203901086,32.3839999987419,0.24619243061779134,9.619179377941837,8.232071625885833,5.276077387252246,100.00814414024353,85.0,1275.0,544.4962430055955,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,68,1030.245303977513,2.4694880404706385,3.440648986884316,2.0002287496346898,1.9534988589477595,2.293511781634226,2.1846771895375956,2.910440691431809,39.34493678345782,35.789885824993554,45.023087710218206,5.353556115226359,38.98268251388659,22.155828740603113,45.753030076162254,1030.2369159176328,2.4694434147437425,3.440648986884316,2.0002287496346898,1.9534988589477595,2.293511781634226,2.1846771895375956,2.910413794534663,39.336983096805454,35.789885824993554,45.023087710218206,5.353556115226359,38.98268251388659,22.155828740603113,45.75481744896743,0.23478434613214963,22.689464696496245,21.91669988633582,7.77208641160137,165.5968520641327,80.0,1200.0,38306.39481303846,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,67,1019.1261302994935,2.3277508092054155,3.2342898272414478,2.653289803544192,2.2905871533864137,3.771884198621549,2.7145395200049993,2.9123754047424693,51.997020157095285,11.02838078502616,70.4134201933445,7.527175340135393,49.906299765801826,21.0319177920865,45.734157822365646,1019.1259978628652,2.327752007138034,3.2342898272414478,2.653289803544192,2.2905871533864137,3.771884198621549,2.7145395200049993,2.912374567765511,51.99701440382912,11.02838078502616,70.4134201933445,7.527175340135393,49.906299765801826,21.0319177920865,45.73420834744769,0.5877339714371534,18.245744265091105,18.306811979870268,5.640246869702229,176.7646985054016,141.0,2115.0,1054.1156408206768,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,116,1008.2709893696725,2.30625796218444,3.7917724363921335,2.8561823797425894,2.947260070722578,3.326882995636896,3.2433914404182436,2.920235958723656,58.57237990385474,39.24428867619614,47.595324935163575,5.26509442209025,23.29594430850597,46.61828321967889,45.36273575511969,1008.2707326579444,2.3062498584763356,3.7917724363921335,2.8561823797425894,2.947260070722578,3.326882995636896,3.2433914404182436,2.9202344866483347,58.57258155574881,39.24428867619614,47.595324935163575,5.26509442209025,23.29594430850597,46.61828321967889,45.362810133283205,0.25958825505963806,13.078382783611982,15.673747835992177,14.644707696007984,165.36214423179626,138.0,2070.0,8486.789945821121,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
