,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
0,0,R116,190,1,1714.84618304,5.169918815959999,18.431334630584963,0.57550069052,73110.99373229999,14955.9214839,133.54895711530332,318.1568361777872,620.3130756849857
1,1,R116,190,2,1713.4173405500003,3.35920008256,18.4712102361189,0.3774890961159999,74125.93821420001,13790.4755839,133.83788603120297,318.1568361777872,620.3130756849857
2,2,R116,190,3,1713.47622818,4.370727781919999,18.427707748426112,0.488961780319,75111.3183145,12641.365247,133.5226776114257,318.1568361777872,620.3130756849857
3,3,R116,210,1,1633.96383198,9.83642050834,17.35780598512644,1.191830341234,78057.08229250001,10960.323613239998,125.77043028000385,318.1568361777872,620.3130756849857
4,4,R116,210,2,1632.6150949499995,10.96064718622,17.331808723055023,1.321197447416,76982.7890185,12221.372432500002,125.58206045724941,318.1568361777872,620.3130756849857
5,5,R116,210,3,1636.0056655900005,10.83762373172,17.36576976446984,1.3051116804320002,77075.6023522,12083.376387900002,125.82813388353141,318.1568361777872,620.3130756849857
6,6,R116,230,1,1543.58326719,21.080304629,16.10335828391465,2.69234751128,80017.6497565,10566.95884406,116.6810080753565,318.1568361777872,620.3130756849857
7,7,R116,230,2,1542.87713901,22.4068483803,16.055241898350918,2.85706207133,79437.68493250001,11236.06692803,116.33236847648932,318.1568361777872,620.3130756849857
8,8,R116,230,3,1542.76782296,22.2869297669,16.061584231072136,2.83434799914,79465.1940143,11206.45844208,116.3783234731064,318.1568361777872,620.3130756849857
9,9,R116,250,1,1444.4771549,46.1901879376,14.577422121090288,6.04019134826,80775.05875180001,11448.17601101,105.62444666761361,318.1568361777872,620.3130756849857
10,10,R116,250,2,1446.37716746,45.271724055,14.58854119476059,5.91626939614,80974.8046318,11215.32439616,105.70501276456314,318.1568361777872,620.3130756849857
11,11,R116,250,3,1447.60510382,47.5971667023,14.577229294685338,6.169431872525,80513.5644115,11703.67709152,105.62304949449502,318.1568361777872,620.3130756849857
12,12,R116,270,1,1332.54407097,85.3398173879,12.767118977622198,10.992703919274,83416.73456,10362.74741624,92.50743144769918,318.1568361777872,620.3130756849857
13,13,R116,270,2,1338.13783667,89.14896833009999,12.72769806323728,11.3113698588258,82931.66148410001,10848.13418849,92.22179711301017,318.1568361777872,620.3130756849857
14,14,R116,270,3,1334.9872395599998,86.8642383461,12.744738152049935,11.099288487486,83136.7122787,10645.57346907,92.3452654421189,318.1568361777872,620.3130756849857
15,15,R125,229,1,1571.78620892,7.54467769997,20.656810060529292,1.14486098433,46906.1400425,5465.97711854,172.11139860464334,347.2606119282188,586.8634671946511
16,16,R125,229,2,1570.62042014,6.90592005901,20.6557438270287,1.0537150476539998,47284.3917717,5003.01141701,172.10251480610484,347.2606119282188,586.8634671946511
17,17,R125,229,3,1571.36769562,6.974634346889999,20.713311137710747,1.063608098177,47204.17079130001,5053.0647433,172.58216245384725,347.2606119282188,586.8634671946511
18,18,R125,249,1,1490.8011129,15.0982929005,19.20590728196956,2.424648536,44276.6780934,11068.63928077,160.0225569235924,347.2606119282188,586.8634671946511
19,19,R125,249,2,1494.58579206,16.170708879300005,19.227086091906337,2.58171517991,43622.9930624,11873.59069878,160.19901759628678,347.2606119282188,586.8634671946511
20,20,R125,249,3,1490.84402402,16.1822433972,19.169992095299293,2.5843966441700004,43650.10442819999,11876.11447783,159.72331357523157,347.2606119282188,586.8634671946511
21,21,R125,269,1,1407.47991195,32.111433241,17.595048700676124,5.2923535036,45295.8502536,11832.5614802,146.60097234357713,347.2606119282188,586.8634671946511
22,22,R125,269,2,1406.9223163,31.737218650800003,17.559679515023113,5.22861122999,45425.2677535,11688.29422216,146.30627824548503,347.2606119282188,586.8634671946511
23,23,R125,269,3,1408.88493144,33.2070291785,17.575170159131527,5.435286351499999,44986.8033232,12202.658943310002,146.43534543519021,347.2606119282188,586.8634671946511
24,24,R125,289,1,1311.5352091599998,61.028353943,15.631204968362892,9.96510883569,46822.6454684,11986.42326393,130.23833501385514,347.2606119282188,586.8634671946511
25,25,R125,289,2,1309.20815763,59.59490783200001,15.64093712722964,9.78659150216,47035.5672177,11758.9578656,130.31942282310982,347.2606119282188,586.8634671946511
26,26,R125,289,3,1313.54700051,63.2454721715,15.56839605437991,10.17908920059,46432.5837067,12449.02346476,129.71501461739635,347.2606119282188,586.8634671946511
27,27,R125,309,1,1191.20874238,104.1824359087,13.298088743546977,16.5758214965928,49029.0355643,11512.49024833,110.79893970627377,347.2606119282188,586.8634671946511
28,28,R125,309,2,1199.82673087,112.7983036674,13.195458801298676,17.494749463726,48273.28767310001,12314.09791027,109.9438327053714,347.2606119282188,586.8634671946511
29,29,R125,309,3,1196.18632097,110.0643951902,13.191722321630293,17.145646011126,48675.8928849,11891.17853713,109.91270056349185,347.2606119282188,586.8634671946511
45,45,R134a,240,1,1442.40328878,4.308301933720001,23.198402355973563,0.8135266352530001,-1320.0095540702862,3787.66619073,227.36643855904006,374.16885800706007,521.3686216677153
46,46,R134a,240,2,1441.7982505,4.1261899345,23.154762855798296,0.7804316062000001,-1307.967605677269,3626.92853807,226.93872989259427,374.16885800706007,521.3686216677153
47,47,R134a,240,3,1442.4327631800002,3.941876261830001,23.18537207643014,0.746598227049,-1337.153886137773,3465.80288254,227.23872940873932,374.16885800706007,521.3686216677153
48,48,R134a,260,1,1376.80296686,9.216799979190002,21.784020784315658,1.84454407617,27.422225497659696,3612.25777518,213.50415201978672,374.16885800706007,521.3686216677153
49,49,R134a,260,2,1376.7799216100002,9.86231304344,21.72799047778456,1.95525208724,35.22485788293098,3861.07639019,212.95500164934896,374.16885800706007,521.3686216677153
50,50,R134a,260,3,1375.0332543,8.77164583925,21.7566615087978,1.75867584526,59.81809784977861,3438.75642217,213.2360050611903,374.16885800706007,521.3686216677153
51,51,R134a,280,1,1306.03475919,19.3585847208,20.163231947590948,3.99783789668,1488.411813127304,3825.74010593,197.61887768892507,374.16885800706007,521.3686216677153
52,52,R134a,280,2,1305.53817131,19.5053288121,20.11931612855998,4.00588868454,1506.9067779322538,3858.0924656,197.18846083451172,374.16885800706007,521.3686216677153
53,53,R134a,280,3,1304.24837728,18.8252100204,20.14998774509192,3.883471444320001,1516.413533566522,3718.93119802,197.48907188990705,374.16885800706007,521.3686216677153
54,54,R134a,300,1,1230.8128843200002,37.776084303800005,18.287802987975372,7.79219096474,2882.7731032750003,4072.35680753,179.23788762007754,374.16885800706007,521.3686216677153
55,55,R134a,300,2,1228.43294181,36.5173955618,18.33995548817649,7.561707961680001,2916.906400379,3946.36302398,179.74903179503943,374.16885800706007,521.3686216677153
56,56,R134a,300,3,1229.07835175,37.9744684558,18.277476993333643,7.816489258,2886.074032712,4103.614427660001,179.1366830375273,374.16885800706007,521.3686216677153
57,57,R134a,320,1,1138.8576634699998,66.19252994809999,16.07651210753724,13.42082455979,4366.75865149,4021.376298610001,157.56513083327934,374.16885800706007,521.3686216677153
58,58,R134a,320,2,1139.95539163,65.85181207619999,16.11408121699283,13.240151894540002,4349.32231057,4037.15022061,157.93334388888886,374.16885800706007,521.3686216677153
59,59,R134a,320,3,1140.02582697,64.686012026,16.173497649040048,13.15074856954,4377.0983338,3933.994742890001,158.51568151452204,374.16885800706007,521.3686216677153
60,60,R14,130,1,1705.94061943,2.27446348896,12.750438810176547,0.275524413546,-4002.39671165,962.444613153,144.88427054333195,231.91087533113293,616.9168644566525
61,61,R14,130,2,1707.20817115,2.43573927554,12.75285380881917,0.294829030721,-3942.26405224,1030.533649263,144.911712368818,231.91087533113293,616.9168644566525
62,62,R14,130,3,1707.9018546599998,2.20083328899,12.765700783410496,0.266701162592,-4040.58840178,931.401351389,145.05769358327373,231.91087533113293,616.9168644566525
63,63,R14,150,1,1601.90995564,10.07570790022,11.792613893802171,1.36550664659,-3031.47776533,1097.22173343,134.00042831773186,231.91087533113293,616.9168644566525
64,64,R14,150,2,1603.9174407699998,9.475578544669998,11.823436272342112,1.285861923571,-3088.27172308,1033.241793711,134.35066550545955,231.91087533113293,616.9168644566525
