,molecule,temperature,restart,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,R116,190,1,1592.2182762666669,6.777653180733333,16.178278373050247,0.75017149495,70708.90283033333,19658.41106733333
1,R116,210,1,1506.7764185333335,18.221386499555557,15.019481140675818,2.141657569055556,71459.3675778889,20409.015472666666
2,R116,230,1,1411.5571717111109,38.264285672,13.697717924066056,4.6615583295333325,73705.34919788889,19508.26697566667
3,R116,250,1,1299.4599902111113,74.16808851677779,11.99479780937341,8.987285450311111,75995.34317477778,18564.788099999998
4,R116,270,1,1165.5746225777777,139.90824778766668,9.790212349693961,16.04633244401111,78417.0256428889,17650.331224411115
5,R125,229,1,1528.1116875444443,8.076806892344443,20.004880743553965,1.2229795683722222,41350.62464822222,13317.254112
6,R125,249,1,1447.6366013333334,17.74659044711111,18.544988874394182,2.823841257622222,43099.06522133333,13035.676327333333
7,R125,269,1,1362.1301806333333,35.70831451511111,16.85456488762793,5.800924419766667,44626.91797566667,13141.415719666666
8,R125,289,1,1267.3986686222222,68.0243924521111,14.886616294493104,10.795404286588887,45900.47210577778,13507.241882144444
9,R125,309,1,1146.1392792555555,119.42662124144444,12.416775128202305,18.136054659253336,48104.01834666667,12964.78215107778
10,R134,240,1,1623.3182537666667,3.272180735877778,31.162788769089826,0.6119509311077779,22791.34005188889,8938.4501346
11,R134,260,1,1568.7604382999998,4.332165264744445,29.890139697922628,0.8714838728988887,26563.85780133333,5165.783030888889
12,R134,280,1,1509.639188,5.0750431333999995,28.535928185993814,1.1053926557233333,29611.51896611111,2985.9994216333334
13,R134,300,1,1448.5859208555555,9.09031900511111,27.013260932516992,2.100527914755556,31566.667579555557,2872.8180668777777
14,R134,320,1,1386.5300755888888,17.066613121611113,25.36497270175953,4.087200989644445,33331.40241655556,3011.738209944445
15,R134a,240,1,1398.6388252888887,3.7530737874222218,22.80204255333339,0.7122020106411112,-858.6976312957366,3360.7374727555557
16,R134a,260,1,1335.6051568222222,9.067612129555556,21.402256428234544,1.808324993977778,499.54513401725774,3612.356211077778
17,R134a,280,1,1270.807359477778,18.553449580000002,19.91029275598695,3.824676361733333,1916.7687177706,3727.5813768
18,R134a,300,1,1194.5084083666668,35.701386742111104,18.076746283191653,7.389641199366666,3346.4389355777776,3917.548537933333
19,R134a,320,1,1115.9883471777778,62.886553905666666,16.021784122834774,12.700847647166665,4719.722190455556,3932.283765477778
20,R14,130,1,1692.1253217,2.4347641783000005,12.583206266054468,0.2946444970477778,-3832.3453351333333,1030.3574513222222
21,R14,150,1,1583.7512767444446,10.69712858841111,11.592198166303692,1.4460784001555556,-2866.0692823666664,1163.3571398955555
22,R14,170,1,1467.4156363999998,30.07262419777778,10.481754402268367,4.347793698155556,-1981.6634076733333,1162.6054007244443
23,R14,190,1,1334.3427868444446,74.67975414766666,8.983867044090033,10.770521822966668,-956.3449227829,1204.4467692477779
24,R14,210,1,1157.6741138666666,159.8600085178889,6.948062419466825,21.68511264258778,164.2180151886362,1085.5808100777776
25,R143,317,1,1252.6376009666667,7.329376091255554,28.95053956485724,2.1820929697222224,1307.174963187909,2247.2158013222224
26,R143,337,1,1199.7046842666666,14.202997944811111,27.132500873001106,4.354299079433333,3094.766301820433,2586.7189878555555
27,R143,357,1,1142.2443368777779,24.96499434111111,25.091877798895393,7.763943838566666,4949.456936544445,2790.888627588889
28,R143,377,1,1077.1212005944444,43.10058552644445,22.711858859361726,13.247629032844445,6694.918427055556,2980.6565062888894
29,R143,397,1,1000.5758018444443,69.29122485344445,19.988638764908853,20.843415916100223,8736.953953877777,2962.8271114333334
30,R143a,240,1,1144.0972106111112,8.428651856244445,18.679789306970964,1.8746128369333335,-110360.09748111111,-24013.912268333337
31,R143a,260,1,1083.9350340222222,17.837368515,17.319087616234054,4.095323102422222,-108502.21161333335,-24434.074929333332
32,R143a,280,1,1017.0575703455555,32.86318359533333,15.715902078128131,7.609617746211112,-108123.2972117778,-23457.875499444446
33,R143a,300,1,945.3057893933333,61.617398597888894,13.751220449474342,13.792980452822224,-105787.67892922221,-24344.50632177778
34,R143a,320,1,847.8978864677778,105.87720092866667,11.225082434527991,22.08548669459889,-104946.48502655556,-23640.256488888885
35,R152,260,1,1196.7370090777779,2.8905219042222217,35.19213723080041,0.8708351402055555,-4128.466629758889,2598.9532580666664
36,R152,280,1,1165.5435754444443,2.926892973905889,34.124885651477875,0.9157787954044555,-2691.4785464247775,1320.379213959
37,R152,300,1,1129.3544278555553,2.5117721428833333,32.85748536504948,0.7539950881366699,-987.2462810673484,609.1170551677777
