,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
0,R116,190,1,1708.2332300299997,5.4939236533,18.647432744890423,0.607756714833,72162.21556740001,15898.440160499998,135.11475136615417,322.91619211030087,615.2422086206988
1,R116,190,2,1708.3637769900001,4.8307043909,18.661631446176774,0.5372461610470001,73802.13389720001,13977.3457667,135.2176316939866,322.91619211030087,615.2422086206988
2,R116,190,3,1707.81872021,4.86474909142,18.660322823418486,0.54114308656,73731.2739046,14076.414362699998,135.20814973252644,322.91619211030087,615.2422086206988
3,R116,210,1,1626.7825950299998,9.3998936999,17.580152455478547,1.139398149824,78338.3352779,10475.10741558,127.38149859539963,322.91619211030087,615.2422086206988
4,R116,210,2,1625.5594837400001,8.71223209749,17.585509648890955,1.059943317589,79016.13165,9704.10379711,127.42031551276517,322.91619211030087,615.2422086206988
6,R116,230,1,1542.6745934699998,19.8821985696,16.37592535974062,2.5497797877,80341.6896685,9985.89905347,118.65596265407282,322.91619211030087,615.2422086206988
7,R116,230,2,1543.41095175,20.4694848326,16.39769595893681,2.61371245475,80089.16782460001,10262.449076310002,118.81370710810721,322.91619211030087,615.2422086206988
8,R116,230,3,1542.2199255599999,20.4837624692,16.362966308605213,2.6223075926600004,80090.9301733,10283.43023208,118.56206452900348,322.91619211030087,615.2422086206988
9,R116,250,1,1449.62429677,41.9143747105,14.942245333187037,5.53010851781,81530.2806629,10356.43003447,108.26786671740896,322.91619211030087,615.2422086206988
10,R116,250,2,1449.67129341,42.32528069400001,14.91985347490075,5.54801955795,81434.89439839999,10463.203623939999,108.10562077147269,322.91619211030087,615.2422086206988
11,R116,250,3,1448.3795118799999,41.3731834118,14.93475827128696,5.44903103716,81702.17350440001,10183.189040460002,108.21361729225046,322.91619211030087,615.2422086206988
12,R116,270,1,1344.49841981,77.3088579217,13.21514827979113,10.09002927515,83919.25237799999,9534.849581579998,95.75374254024858,322.91619211030087,615.2422086206988
13,R116,270,2,1348.00235183,82.94882321889999,13.12774916165548,10.683945714138,83315.4244763,10191.91095266,95.12046983842022,322.91619211030087,615.2422086206988
14,R116,270,3,1344.24357688,77.8546602946,13.200547689593641,10.247961986140002,84070.21767450002,9372.516025949999,95.64795022334783,322.91619211030087,615.2422086206988
15,R125,229,1,1525.5256324700001,7.51983118314,20.12163539990455,1.145037976649,42093.4119295,12412.169162200002,167.6523529403812,344.57215894448393,574.0048557967132
16,R125,229,2,1527.0992924600002,7.798720153330001,20.126592553927093,1.185269926736,41733.2020178,12870.0098849,167.69365567344687,344.57215894448393,574.0048557967132
17,R125,229,3,1524.99998362,7.36749462086,20.11033307575728,1.1240553237159998,42299.9096352,12160.980571600001,167.55818260087716,344.57215894448393,574.0048557967132
18,R125,249,1,1450.93232143,18.4301384635,18.67891627070725,2.92526491492,42683.3151413,13573.6848882,155.63169697306492,344.57215894448393,574.0048557967132
19,R125,249,2,1450.66852919,17.830765933200002,18.69710031070557,2.83290427147,43049.765525200004,13120.7781449,155.78320538831503,344.57215894448393,574.0048557967132
20,R125,249,3,1448.5934482900002,16.7056269995,18.687568382434367,2.66784529762,43717.1416847,12293.1988246,155.70378588930487,344.57215894448393,574.0048557967132
21,R125,269,1,1363.6238474600002,33.9840604534,17.036797411799625,5.549209212409999,45156.94767930001,12516.673474329998,141.94965348941534,344.57215894448393,574.0048557967132
22,R125,269,2,1364.2322675499997,34.321206064600005,17.034161038694844,5.604983161710001,45045.3540462,12649.15727447,141.9276873745613,344.57215894448393,574.0048557967132
23,R125,269,3,1364.5794890999998,35.294968361399995,17.040849227209527,5.729892166350001,44694.6973619,13063.2388198,141.98341299124752,344.57215894448393,574.0048557967132
24,R125,289,1,1268.1748967600004,64.5498892801,15.068412212098247,10.446414701310001,46535.666813200005,12818.953676899999,125.54917690466795,344.57215894448393,574.0048557967132
25,R125,289,2,1268.86359685,63.64984176629999,15.137832760547663,10.379504140720002,46689.1977299,12620.37222328,126.12758507371825,344.57215894448393,574.0048557967132
26,R125,289,3,1270.16260979,63.79306254200001,15.131962634565111,10.380050143739998,46652.893715900005,12662.52351645,126.07867550879112,344.57215894448393,574.0048557967132
27,R125,309,1,1158.0701023600002,117.2724545765,12.66344195369386,17.957991910602,48173.7792668,12877.89182471,105.51109776448808,344.57215894448393,574.0048557967132
28,R125,309,2,1150.1715051599997,113.83010076629999,12.672603206096056,17.5645660775193,48750.6518344,12266.302927290002,105.58742881266504,344.57215894448393,574.0048557967132
