sigma_C1,sigma_F1,epsilon_C1,epsilon_F1,temperature
0.744774100607422,0.4586080316952522,0.4037625625089891,0.4019120175782904,0.25
0.22861513172648107,0.470279318416111,0.9370694826293734,0.757165097690593,1.0
0.742353270986376,0.46212521587705463,0.3226306401879711,0.47112721731769475,0.75
0.1665290733128036,0.449534561404205,0.6439289890275263,0.8717354457056489,0.5
0.2671878361187806,0.4523930378392695,0.3812091813378184,0.8821654252943878,0.5
0.5065780316309306,0.45293805912027907,0.23627359319439614,0.7418372323889142,1.0
0.22861513172648107,0.470279318416111,0.9370694826293734,0.757165097690593,0.75
0.20303041193814114,0.46999184373992603,0.9046419855750483,0.7957742073957905,0.25
0.737149994588384,0.4441101754907111,0.1095085170091052,0.6367713384587463,0.0
0.18188393635578715,0.4501320973553176,0.3460647535407123,0.9791982201872851,0.5
0.6716250414582677,0.47821450589800213,0.46028006055299925,0.459540868063544,0.5
0.7961070867629476,0.4563333144666242,0.3035065279306013,0.4349343524096627,0.0
0.5915220385890637,0.4619809039505875,0.36759559643061346,0.5794001008912721,0.75
0.24776236425999718,0.4680536745592985,0.7689249107616684,0.7746556432105139,0.0
0.6549897135750545,0.4652096956154971,0.4177190438263882,0.47994238982696963,0.25
0.6461190844174302,0.4460087398551856,0.14185761933767924,0.6889647171000258,0.5
0.4712380341726076,0.4456459860246916,0.1463277816493458,0.831899658893075,0.0
0.14121268139687504,0.4681725122431642,0.8206564408103126,0.8802810491966868,1.0
0.744774100607422,0.4586080316952522,0.4037625625089891,0.4019120175782904,0.75
0.2671878361187806,0.4523930378392695,0.3812091813378184,0.8821654252943878,0.5
0.690825321606932,0.46187088591381753,0.2997700586907923,0.5344640051048665,1.0
0.4147800693635996,0.47037149111388554,0.5915243133046226,0.6376858932149158,0.25
0.42327617350778407,0.4750449521714641,0.4097258959626102,0.7637706007417344,0.75
0.14480331661432255,0.458210252540235,0.7916443630520307,0.8631380899443264,0.75
0.14480331661432255,0.458210252540235,0.7916443630520307,0.8631380899443264,0.25
0.20303041193814114,0.46999184373992603,0.9046419855750483,0.7957742073957905,1.0
0.19047885539887457,0.45427467023831813,0.4250422891260936,0.9177648021464289,0.0
0.5458615677215816,0.44330381529221213,0.08513183939400017,0.8204655928330518,0.25
0.737149994588384,0.4441101754907111,0.1095085170091052,0.6367713384587463,0.25
0.690825321606932,0.46187088591381753,0.2997700586907923,0.5344640051048665,0.25
0.53441069054135,0.46577419706183665,0.33212555157089513,0.6683875103346645,0.75
0.15194667088290606,0.460375584456524,0.6060924782558494,0.9331366777300126,0.25
0.14121268139687504,0.4681725122431642,0.8206564408103126,0.8802810491966868,0.75
0.6716250414582677,0.47821450589800213,0.46028006055299925,0.459540868063544,0.75
0.6821822172568123,0.469678973322223,0.25027569099146,0.612023226555102,0.75
0.5915220385890637,0.4619809039505875,0.36759559643061346,0.5794001008912721,0.0
0.13548177330617306,0.4553080812926887,0.6883095830616132,0.8902134410414829,1.0
0.2671878361187806,0.4523930378392695,0.3812091813378184,0.8821654252943878,1.0
0.18188393635578715,0.4501320973553176,0.3460647535407123,0.9791982201872851,0.75
0.742353270986376,0.46212521587705463,0.3226306401879711,0.47112721731769475,0.0
0.3539355899691625,0.4663807974110422,0.5761421602755954,0.7105591827919971,1.0
0.49686620995439706,0.4664193332270385,0.44076993733879144,0.6259575670144408,0.5
0.1665290733128036,0.449534561404205,0.6439289890275263,0.8717354457056489,0.25
0.13548177330617306,0.4553080812926887,0.6883095830616132,0.8902134410414829,0.0
0.10810925202911355,0.4626629114624677,0.838342385151999,0.8982257272206905,0.0
0.6821822172568123,0.469678973322223,0.25027569099146,0.612023226555102,1.0
0.44560680951988774,0.47130854829839325,0.509259043787364,0.6532065658903079,0.0
0.44560680951988774,0.47130854829839325,0.509259043787364,0.6532065658903079,0.25
0.7225271062668855,0.45666780504899906,0.32287396659261436,0.48440135347352775,0.75
0.7961070867629476,0.4563333144666242,0.3035065279306013,0.4349343524096627,0.25
0.470771598293228,0.470084959753042,0.40889162764689113,0.6891956995627855,0.75
0.2124466968452861,0.4716894746994806,0.997422338213931,0.7704044000162064,1.0
0.6148172881472765,0.4692707011957946,0.5389823524854961,0.44705987370523204,0.0
0.19047885539887457,0.45427467023831813,0.4250422891260936,0.9177648021464289,0.75
0.24776236425999718,0.4680536745592985,0.7689249107616684,0.7746556432105139,0.25
0.06529958461737109,0.44177165301630617,0.6906491485796944,0.9373992763416236,0.5
0.1665290733128036,0.449534561404205,0.6439289890275263,0.8717354457056489,0.0
0.7539263562794717,0.45447511288831166,0.22177677498506568,0.5341071365484602,0.0
0.11727221278042115,0.46568329070835013,0.5787851575545225,0.9387033612374817,0.5
0.24776236425999718,0.4680536745592985,0.7689249107616684,0.7746556432105139,0.5
0.42327617350778407,0.4750449521714641,0.4097258959626102,0.7637706007417344,0.25
0.861112689974282,0.4256574765293496,0.12354703502183835,0.569888875635075,0.5
0.4250745892078796,0.44955557636834,0.1720225394623804,0.8506182468046847,1.0
0.5065780316309306,0.45293805912027907,0.23627359319439614,0.7418372323889142,0.25
0.7539263562794717,0.45447511288831166,0.22177677498506568,0.5341071365484602,1.0
0.861112689974282,0.4256574765293496,0.12354703502183835,0.569888875635075,0.25
0.53441069054135,0.46577419706183665,0.33212555157089513,0.6683875103346645,0.5
0.42327617350778407,0.4750449521714641,0.4097258959626102,0.7637706007417344,0.0
